#Time               nTime               force-x             force-y             force-z             moment-x            moment-y            moment-z            
0                   0                   -0.000321474        7.44152e-06         6.99503e-05         -1.12053e-06        -0.000582553        3.96643e-05         
0.00347769          256                 8.07871             -0.388949           0.280268            -0.242589           5.38346             -2.62802            
0.00695537          512                 16.7506             -0.277934           -10.7146            0.0413725           61.5979             -1.60496            
0.0104331           768                 38.8684             -1.21255            -21.8975            1.00122             130.067             -6.17007            
0.0139107           1024                32.0544             -0.928015           -6.42145            0.134024            55.7442             -4.55753            
0.0173884           1280                8.61125             0.0222857           9.78365             -0.64048            -36.0736            0.161845            
0.0208661           1536                -20.9919            0.742984            26.9381             -1.20833            -137.078            4.18285             
0.0243438           1792                7.14531             -0.265023           -4.81956            0.0405048           27.5462             -1.36178            
0.0278215           2048                7.82374             -0.334217           -7.91387            0.429917            41.6913             -1.61783            
0.0312992           2304                -10.8103            -0.022909           2.55838             0.475583            -20.6076            0.389095            
0.0347769           2560                -6.55008            0.145263            3.52837             -0.0353965          -21.2257            0.832607            
0.0382545           2816                4.67818             -0.0361097          -2.80087            -0.09837            16.4228             -0.571449           
0.0417322           3072                5.63189             -0.172461           -3.64226            0.14642             20.9076             -0.864454           
0.0452099           3328                2.2112              -0.128935           0.236953            0.170692            0.813207            -0.403399           
0.0486876           3584                4.24375             -0.0755576          -0.560793           -0.0481942          6.09292             -0.506667           
0.0521653           3840                6.37329             -0.0920061          -1.62848            -0.0845397          12.6463             -0.688791           
0.055643            4096                4.09194             -0.0802766          -0.410301           -0.0269514          5.28974             -0.396353           
0.0591207           4352                2.46426             -0.054018           0.294521            -0.0185329          0.787822            -0.215791           
0.0625984           4608                2.46292             -0.0229272          -0.0523074          -0.0623957          2.3275              -0.215928           
0.066076            4864                1.97219             -0.0160396          -0.41113            -0.0525299          3.49516             -0.162666           
0.0695537           5120                1.37474             -0.032217           -0.268544           0.0125134           2.35288             -0.14463            
0.0730314           5376                1.01918             -0.0229118          -0.121041           -0.00739572         1.39897             -0.132603           
0.0765091           5632                1.35738             -0.0228632          -0.382345           -0.0162514          2.84554             -0.175382           
0.0799868           5888                1.70854             -0.0419492          -0.550551           0.0150558           3.89033             -0.212204           
0.0834645           6144                1.98174             -0.0503662          -0.620335           0.0103005           4.43202             -0.269486           
0.0869422           6400                2.17146             -0.0562028          -0.571869           0.0218756           4.38028             -0.295892           
0.0904198           6656                2.22094             -0.0574821          -0.48243            0.018667            4.027               -0.297268           
0.0938975           6912                2.13586             -0.0500791          -0.386574           0.00335601          3.53147             -0.274093           
0.0973752           7168                2.06982             -0.0389767          -0.378579           -0.0146919          3.44018             -0.234313           
0.100853            7424                1.88772             -0.0439038          -0.343148           0.00507042          3.12882             -0.229976           
0.104331            7680                1.67888             -0.0461321          -0.310687           0.0190896           2.80741             -0.222973           
0.107808            7936                1.60727             -0.041376           -0.348249           0.0208567           2.91269             -0.210005           
0.111286            8192                1.70714             -0.0506796          -0.446715           0.0365388           3.43306             -0.241587           
0.114764            8448                1.83184             -0.0574042          -0.508911           0.0401606           3.81386             -0.284926           
0.118241            8704                1.88532             -0.0592431          -0.463317           0.0342445           3.65677             -0.310258           
0.121719            8960                1.96458             -0.0667671          -0.443649           0.0435611           3.63651             -0.317993           
0.125197            9216                2.13464             -0.0635245          -0.490844           0.0325222           3.9904              -0.32274            
0.128674            9472                2.224               -0.0686391          -0.467078           0.044391            3.9598              -0.330161           
0.132152            9728                2.33048             -0.0672871          -0.514529           0.0297088           4.25999             -0.345844           
0.13563             9984                2.56604             -0.0712646          -0.627547           0.0277686           4.96189             -0.374889           
0.139107            10240               2.71031             -0.0698269          -0.676979           0.0272557           5.30343             -0.365232           
0.142585            10496               2.69392             -0.075518           -0.594316           0.0261074           4.9244              -0.401972           
0.146063            10752               2.73003             -0.0705668          -0.565706           0.0155163           4.82986             -0.37882            
0.149541            11008               2.73679             -0.0682             -0.535506           0.015906            4.70226             -0.355876           
0.153018            11264               2.70328             -0.0595366          -0.518544           0.00218336          4.59849             -0.334491           
0.156496            11520               2.61929             -0.0522039          -0.490406           -0.00374065         4.40253             -0.303102           
0.159974            11776               2.46327             -0.0447518          -0.436441           -0.0125019          4.02986             -0.273594           
0.163451            12032               2.20694             -0.0390493          -0.340698           -0.019808           3.388               -0.237543           
0.166929            12288               1.98322             -0.0316561          -0.276795           -0.0222719          2.91356             -0.20059            
0.170407            12544               1.75025             -0.0272624          -0.216227           -0.0231222          2.44626             -0.174499           
0.173884            12800               1.47253             -0.0246324          -0.14093            -0.0151876          1.87541             -0.157144           
0.177362            13056               1.26435             -0.0176715          -0.120077           -0.0193779          1.60454             -0.11274            
0.18084             13312               1.08042             -0.00999727         -0.0902582          -0.0206949          1.31602             -0.0812242          
0.184317            13568               0.888471            -0.00520576         -0.0560897          -0.0264422          1.00186             -0.0631437          
0.187795            13824               0.779761            -0.0088445          -0.0507953          -0.020523           0.88622             -0.0617509          
0.191273            14080               0.818214            -0.0150821          -0.0986929          -0.00286504         1.13036             -0.0798024          
0.19475             14336               0.746178            -0.00465409         -0.0563426          -0.0254068          0.880378            -0.0601218          
0.198228            14592               0.62908             -0.00149409         0.0346386           -0.0286358          0.377167            -0.0416766          
0.201706            14848               0.61441             -0.00861298         0.0638456           -0.0125098          0.234916            -0.0474613          
0.205183            15104               0.538959            0.000567871         0.103195            -0.0315386          -0.00536907         -0.0281343          
0.208661            15360               0.42311             0.00490016          0.130807            -0.0342648          -0.227779           0.00247161          
0.212139            15616               0.415613            -0.00213621         0.118028            -0.0220165          -0.177908           -0.0153357          
0.215617            15872               0.262075            -0.00196291         0.206557            -0.0108499          -0.701105           -0.00934383         
0.219094            16128               0.249565            0.0132163           0.202569            -0.0448668          -0.696093           0.0218064           
0.222572            16384               0.267766            0.0102958           0.236439            -0.035517           -0.829882           0.0341169           
0.22605             16640               0.225188            0.00707655          0.250798            -0.0290389          -0.93009            0.031077            
0.229527            16896               0.219215            0.0155071           0.243347            -0.0422416          -0.902656           0.046073            
0.233005            17152               0.217372            0.0184535           0.247984            -0.055783           -0.924088           0.046967            
0.236483            17408               0.0866382           0.0136486           0.336792            -0.0348716          -1.42788            0.057333            
0.23996             17664               0.0228817           0.0165316           0.342391            -0.042274           -1.50646            0.0652021           
0.243438            17920               0.185547            0.00204328          0.184117            -0.0187376          -0.665207           0.019831            
0.246916            18176               0.306027            -0.00309451         0.101867            -0.00780889         -0.196793           -0.0179461          
0.250393            18432               0.38765             -0.000812614        0.0214982           -0.0121944          0.229396            -0.0157346          
0.253871            18688               0.597754            -0.00690722         -0.0688529          -0.0098385          0.810103            -0.0562959          
0.257349            18944               0.800085            -0.0252329          -0.162998           0.0249615           1.40023             -0.0823086          
0.260826            19200               0.953562            -0.0253331          -0.156145           0.00780321          1.50156             -0.147569           
0.264304            19456               0.985739            -0.01771            -0.114289           -0.00922084         1.34357             -0.129351           
0.267782            19712               1.00812             -0.0117158          -0.142972           -0.0240767          1.49013             -0.0881881          
0.27126             19968               1.05177             -0.0103381          -0.184714           -0.0199428          1.71236             -0.0727906          
0.274737            20224               1.10875             -0.0272432          -0.263103           0.00738058          2.10834             -0.130267           
0.278215            20480               1.12134             -0.0280127          -0.271856           -0.00349775         2.15921             -0.153613           
0.281693            20736               1.26707             -0.0285485          -0.341958           0.01001             2.59354             -0.142927           
0.28517             20992               1.33265             -0.0165151          -0.328381           -0.0167636          2.58961             -0.124429           
0.288648            21248               1.4549              -0.0254837          -0.405588           -0.0124891          3.03622             -0.1611             
0.292126            21504               1.61149             -0.0350897          -0.50348            0.0108518           3.60326             -0.186033           
0.295603            21760               1.81767             -0.0338609          -0.586358           -0.006809           4.14547             -0.216387           
0.299081            22016               2.02818             -0.0435812          -0.655315           -0.00147123         4.62954             -0.258034           
0.302559            22272               2.20026             -0.0521178          -0.656732           0.0038782           4.78286             -0.283419           
0.306036            22528               2.48599             -0.0600638          -0.75025            0.0177351           5.44056             -0.317168           
0.309514            22784               2.60823             -0.0643766          -0.693558           0.00791046          5.29404             -0.340975           
0.312992            23040               2.70033             -0.0747812          -0.705788           0.0364281           5.42646             -0.357558           
0.316469            23296               2.80564             -0.0748304          -0.71476            0.0296375           5.55633             -0.381833           
0.319947            23552               2.85621             -0.0760059          -0.732025           0.0255211           5.67437             -0.38823            
0.323425            23808               2.7978              -0.0772807          -0.65514            0.0236933           5.28446             -0.392442           
0.326903            24064               2.67499             -0.0743162          -0.565434           0.0227762           4.78252             -0.38136            
0.33038             24320               2.49864             -0.0718189          -0.47757            0.0257425           4.2426              -0.355707           
0.333858            24576               2.33736             -0.0775663          -0.424273           0.0433458           3.86978             -0.363198           
0.337336            24832               2.14441             -0.0641195          -0.358594           0.0231349           3.41382             -0.335263           
0.340813            25088               1.88512             -0.0576817          -0.302093           0.0210071           2.94341             -0.276561           
0.344291            25344               1.89948             -0.0571512          -0.431418           0.0208526           3.52818             -0.309381           
0.347769            25600               1.8856              -0.0470577          -0.436509           0.00375795          3.53812             -0.259038           
0.351246            25856               1.66146             -0.0532987          -0.312416           0.023546            2.79734             -0.260062           
0.354724            26112               1.61932             -0.044448           -0.27199            0.00334828          2.58248             -0.253413           
0.358202            26368               1.46892             -0.0232242          -0.147032           -0.0305222          1.90135             -0.165828           
0.361679            26624               1.1797              -0.0210231          0.0151375           -0.0199452          0.935937            -0.146439           
0.365157            26880               0.769619            -0.0111436          0.209519            -0.0280641          -0.27426            -0.0641221          
0.368635            27136               0.482296            0.0011412           0.265867            -0.0322862          -0.768161           -0.0305501          
0.372112            27392               0.444058            -0.00784981         0.115719            -0.0296944          -0.136105           -0.0624123          
0.37559             27648               0.457468            -0.0140192          0.0323837           0.00157019          0.245528            -0.0584536          
0.379068            27904               0.523424            -0.021612           -0.0376205          0.0066548           0.610107            -0.115891           
0.382546            28160               0.785329            -0.0409477          -0.153802           0.0387299           1.34806             -0.169595           
0.386023            28416               1.20564             -0.0484746          -0.371947           0.0368497           2.67305             -0.231898           
0.389501            28672               1.52701             -0.0490732          -0.447478           0.0246103           3.28119             -0.275075           
0.392979            28928               1.74386             -0.0628843          -0.458018           0.0425878           3.51212             -0.295413           
0.396456            29184               1.9883              -0.0586761          -0.467877           0.0139553           3.76352             -0.323885           
0.399934            29440               2.11412             -0.0439738          -0.485066           -0.0140474          3.94654             -0.277272           
0.403412            29696               2.12434             -0.0386966          -0.43181            -0.0196621          3.71901             -0.247163           
0.406889            29952               2.14696             -0.0441069          -0.366426           -0.0285558          3.44824             -0.300737           
0.410367            30208               2.02228             -0.0414326          -0.320057           -0.0204864          3.13576             -0.234923           
0.413845            30464               2.1086              -0.0229711          -0.391604           -0.0620133          3.52806             -0.231125           
0.417322            30720               1.97972             -0.0269505          -0.283837           -0.0229179          2.94111             -0.168516           
0.4208              30976               1.91372             -0.027887           -0.297354           -0.033148           2.94335             -0.181804           
0.424278            31232               1.90725             -0.0360133          -0.333157           -0.0322239          3.09709             -0.233423           
0.427755            31488               1.86673             -0.036098           -0.351225           -0.0135065          3.14265             -0.21574            
0.431233            31744               1.75273             -0.0428675          -0.301985           0.00502641          2.82774             -0.188787           
0.434711            32000               1.68579             -0.0413634          -0.332191           0.0115767           2.90578             -0.198249           
0.438188            32256               1.78401             -0.0412179          -0.411283           0.0131289           3.34031             -0.227452           
0.441666            32512               1.82872             -0.0450354          -0.422312           0.0144448           3.42631             -0.21638            
0.445144            32768               1.80648             -0.0354942          -0.386835           0.00494539          3.24995             -0.195981           
0.448622            33024               1.78977             -0.0398737          -0.319019           0.00853197          2.93565             -0.198877           
0.452099            33280               1.80995             -0.0517394          -0.384637           0.0404096           3.24294             -0.220063           
0.455577            33536               2.02899             -0.049185           -0.498838           0.0260996           3.93511             -0.277516           
0.459055            33792               2.04192             -0.0560145          -0.452401           0.0282751           3.73953             -0.27921            
0.462532            34048               2.12008             -0.0561069          -0.488939           0.0169549           3.96752             -0.307117           
0.46601             34304               2.39618             -0.0568382          -0.635079           0.014526            4.84975             -0.288073           
0.469488            34560               2.43052             -0.0572486          -0.62152            -0.00156288         4.81833             -0.34054            
0.472965            34816               2.57577             -0.0559115          -0.638879           -0.0186089          5.01861             -0.340079           
0.476443            35072               2.55525             -0.0582663          -0.574              -0.0189254          4.71431             -0.328707           
0.479921            35328               2.46678             -0.0443518          -0.500166           -0.0334237          4.31188             -0.280667           
0.483398            35584               2.38668             -0.0354524          -0.428427           -0.042085           3.92525             -0.251257           
0.486876            35840               2.35445             -0.0339004          -0.485524           -0.0430269          4.15125             -0.227672           
0.490354            36096               2.34995             -0.0417177          -0.531588           -0.0193562          4.35223             -0.238697           
0.493831            36352               2.19239             -0.0535078          -0.434446           0.00947769          3.78653             -0.235158           
0.497309            36608               2.13375             -0.0531478          -0.416091           0.0165517           3.65496             -0.278715           
0.500787            36864               2.22184             -0.0458092          -0.474436           0.00644572          3.9885              -0.230512           
0.504265            37120               2.16533             -0.0633493          -0.414006           0.059192            3.6736              -0.280088           
0.507742            37376               2.04885             -0.073103           -0.324371           0.0681205           3.17649             -0.295517           
0.51122             37632               1.84609             -0.0636701          -0.296564           0.0439646           2.88295             -0.286043           
0.514698            37888               1.73671             -0.0562521          -0.269076           0.0609261           2.66839             -0.247567           
0.518175            38144               1.4505              -0.0515122          -0.167194           0.0423628           1.97183             -0.218286           
0.521653            38400               1.36482             -0.0502427          -0.148205           0.0487082           1.81384             -0.224445           
0.525131            38656               1.2296              -0.0398715          -0.124305           0.0143151           1.59286             -0.196111           
0.528608            38912               1.17537             -0.0189124          -0.147025           -0.0262375          1.64765             -0.160921           
0.532086            39168               1.13347             -0.0212333          -0.12754            -0.0135871          1.52585             -0.132064           
0.535564            39424               1.19155             -0.0118381          -0.134751           -0.0443184          1.60738             -0.128155           
0.539041            39680               1.3339              -0.0261732          -0.257503           -0.0168461          2.27194             -0.170604           
0.542519            39936               1.622               -0.0321016          -0.423766           -0.0204801          3.25521             -0.196127           
0.545997            40192               1.71282             -0.0388294          -0.405291           0.000783796         3.25049             -0.232953           
0.549474            40448               1.81664             -0.0368104          -0.420752           -0.00366905         3.40775             -0.191701           
0.552952            40704               1.96964             -0.040332           -0.43026            -0.00719565         3.58223             -0.236484           
0.55643             40960               2.05495             -0.0595133          -0.48117            0.0230596           3.87901             -0.303399           
0.559907            41216               2.11258             -0.0676355          -0.473921           0.0229454           3.89615             -0.330385           
0.563385            41472               2.04215             -0.0681281          -0.403844           0.0502421           3.52586             -0.312982           
0.566863            41728               2.1874              -0.0776374          -0.51479            0.0784967           4.14179             -0.322124           
0.570341            41984               2.36415             -0.0708033          -0.618489           0.0350018           4.75137             -0.401269           
0.573818            42240               2.26175             -0.0609294          -0.534711           0.0212211           4.29272             -0.31808            
0.577296            42496               2.28135             -0.0571687          -0.53843            0.0207584           4.32601             -0.307903           
0.580774            42752               2.41171             -0.0652211          -0.600245           0.0450964           4.71064             -0.30985            
0.584251            43008               2.60643             -0.0556227          -0.704009           -0.00745856         5.33517             -0.333583           
0.587729            43264               2.82034             -0.0755098          -0.825761           0.0308319           6.05656             -0.394871           
0.591207            43520               3.01878             -0.0719684          -0.823384           0.0105051           6.21678             -0.392123           
0.594684            43776               3.00396             -0.0723231          -0.716014           0.020218            5.72785             -0.389974           
0.598162            44032               3.01256             -0.0699536          -0.681324           0.00536375          5.58014             -0.38255            
0.60164             44288               2.75982             -0.0482877          -0.48508            -0.0338871          4.4966              -0.312719           
0.605117            44544               2.37937             -0.0400885          -0.285989           -0.046605           3.28942             -0.259964           
0.608595            44800               1.89943             -0.0360942          -0.145504           -0.0218108          2.25976             -0.177009           
0.612073            45056               1.4575              -0.0189965          -0.0813963          -0.0100048          1.60066             -0.114417           
0.61555             45312               1.07191             -0.00384942         0.0102448           -0.0472792          0.86594             -0.0795933          
0.619028            45568               0.868624            -0.0105468          -0.0258487          -0.0183909          0.85221             -0.0640937          
0.622506            45824               0.64193             -0.00441861         0.0276882           -0.0269149          0.423118            -0.0527483          
0.625984            46080               0.563506            -0.00871716         0.0135925           -0.00300382         0.419519            -0.0337685          
0.629461            46336               0.650485            -0.0174457          -0.113485           0.00245312          1.05723             -0.0867187          
0.632939            46592               0.84294             -0.0223631          -0.210655           0.0057908           1.65197             -0.103981           
0.636417            46848               1.19406             -0.0270178          -0.434852           -0.0128746          2.94254             -0.176486           
0.639894            47104               1.73716             -0.0377935          -0.587381           -0.00943144         4.0792              -0.245306           
0.643372            47360               2.02053             -0.0484385          -0.580232           -0.00506619         4.28754             -0.261277           
0.64685             47616               2.15499             -0.0389228          -0.551959           -0.0339979          4.27709             -0.263135           
0.650327            47872               2.56178             -0.0517564          -0.713437           -0.033338           5.33948             -0.321994           
0.653805            48128               2.75883             -0.0650953          -0.751691           0.00782634          5.6761              -0.360245           
0.657283            48384               2.65769             -0.0602394          -0.617503           -0.0211652          4.99583             -0.313445           
0.66076             48640               2.80106             -0.0800332          -0.686411           0.0402308           5.42235             -0.393291           
0.664238            48896               2.86818             -0.0861826          -0.678505           0.0347376           5.44422             -0.408985           
0.667716            49152               2.69274             -0.0718307          -0.567053           0.0218292           4.80135             -0.341865           
0.671193            49408               2.54677             -0.0660228          -0.464378           0.0298346           4.22281             -0.329677           
0.674671            49664               2.41517             -0.0608106          -0.414462           0.00898768          3.88843             -0.301169           
0.678149            49920               2.21697             -0.0593405          -0.424171           0.0243984           3.76192             -0.267707           
0.681626            50176               1.90258             -0.0611556          -0.273451           0.035647            2.82828             -0.301894           
0.685104            50432               1.55368             -0.0524123          -0.112852           0.0409873           1.82028             -0.222105           
