#Time               nTime               force-x             force-y             force-z             moment-x            moment-y            moment-z            
0                   0                   6.73044e-05         5.68863e-05         -3.02622e-05        -6.87729e-05        0.000234979         0.000214707         
0.00347769          256                 -0.313103           -5.39056            12.5811             3.58974             -46.8572            -20.9689            
0.00695537          512                 -3.00956            -9.05907            18.4016             9.64655             -63.4089            -32.9084            
0.0104331           768                 -5.95677            -11.148             -11.4145            15.3656             24.9664             -43.4584            
0.0139107           1024                -4.58223            -5.16809            -36.9054            7.97593             110.085             -20.8322            
0.0173884           1280                -1.15607            7.4082              -39.0311            -9.64456            119.737             27.1396             
0.0208661           1536                3.9247              14.1519             1.35405             -17.1148            -3.07265            54.8734             
0.0243438           1792                1.2923              7.792               17.2909             -7.96289            -56.921             31.0562             
0.0278215           2048                1.44726             -6.52312            24.7378             8.60363             -77.5503            -23.7235            
0.0312992           2304                0.664613            -6.32546            4.15803             7.61025             -13.0924            -24.6079            
0.0347769           2560                -0.976376           -0.100309           1.11982             -0.637866           -3.93719            -0.408292           
0.0382545           2816                0.179977            0.106906            6.57085             -0.0673677          -20.7249            0.601045            
0.0417322           3072                -0.381377           -2.19181            2.45664             2.86412             -8.69662            -8.477              
0.0452099           3328                -0.63016            -1.75059            -1.74166            2.11014             4.69882             -6.92534            
0.0486876           3584                -0.574191           -0.255443           -2.12585            0.12064             5.72454             -1.04788            
0.0521653           3840                -0.909516           -0.15788            -0.278555           0.122558            -0.790842           -0.558456           
0.055643            4096                -0.223653           -0.307348           -0.863204           0.346092            2.08335             -1.21971            
0.0591207           4352                -0.453163           -0.0621633          -0.838953           -0.0595422          1.75214             -0.269261           
0.0625984           4608                -0.167706           0.0342859           1.61376             -0.149279           -5.64536            0.214975            
0.066076            4864                -0.106788           -0.0443875          1.9834              0.0259157           -6.66567            -0.116083           
0.0695537           5120                -0.197216           -0.295419           2.08847             0.338263            -6.92311            -1.09843            
0.0730314           5376                -0.177279           -0.36561            2.02145             0.434584            -6.6271             -1.39002            
0.0765091           5632                -0.257878           -0.201109           1.7461              0.271478            -5.85891            -0.757934           
0.0799868           5888                -0.277882           -0.258749           1.26386             0.361739            -4.39148            -0.993931           
0.0834645           6144                -0.294123           -0.389075           0.557419            0.548417            -2.2043             -1.51745            
0.0869422           6400                -0.353477           -0.363934           -0.00223064         0.498835            -0.59066            -1.4118             
