#Time               nTime               force-x             force-y             force-z             moment-x            moment-y            moment-z            
0                   0                   -0.000213985        -3.39003e-05        0.000101039         -2.18551e-06        -0.000659539        -0.000127669        
0.00347769          256                 37.1275             1.0486              4030.74             -16.793             -15469.3            4.8056              
0.00695537          512                 21.086              1.38839             1481.52             -9.37235            -5131.56            4.16541             
0.0104331           768                 15.5024             2.02349             -910.279            7.60282             3581.76             7.25889             
0.0139107           1024                12.4554             1.99225             -2838.33            7.00519             10502.2             8.12296             
0.0173884           1280                4.82125             1.16028             -2154.87            17.3655             7879.48             5.06839             
0.0208661           1536                -5.5403             0.143174            -724.406            8.50224             2710.54             0.648827            
0.0243438           1792                -8.03546            -0.974745           758.746             -3.96105            -2810.68            -4.02869            
0.0278215           2048                4.74598             -0.475222           963.254             -12.4408            -3499.15            -2.10975            
0.0312992           2304                1.64497             -0.693217           500.659             4.56212             -1920.61            -2.67252            
0.0347769           2560                -3.11665            -0.170366           180.114             -0.352547           -674.717            -0.923882           
0.0382545           2816                0.260198            0.200657            212.13              -6.33652            -764.566            0.504336            
0.0417322           3072                2.97659             0.22407             111.76              -1.6468             -406.435            0.847531            
0.0452099           3328                2.85895             0.136998            -106.983            4.86306             409.216             0.532499            
0.0486876           3584                1.68639             0.386689            -138.671            -0.296367           522.808             1.39916             
0.0521653           3840                3.06067             0.497269            -111.345            -2.39709            441.883             1.86478             
0.055643            4096                2.9923              0.331689            -126.168            1.54004             487.2               1.27506             
0.0591207           4352                1.97977             0.202421            -83.983             2.69708             329.364             0.754855            
0.0625984           4608                1.8595              0.236889            7.14421             -1.03797            -1.59001            0.810241            
0.066076            4864                1.73139             0.180634            64.5898             -0.308157           -218.255            0.603882            
0.0695537           5120                1.61287             0.127627            84.8399             0.235899            -291.187            0.399562            
0.0730314           5376                1.39101             0.12712             96.2741             0.00746801          -336.04             0.383351            
0.0765091           5632                1.24348             0.161034            93.7808             -0.0182419          -328.079            0.504048            
0.0799868           5888                1.25187             0.172083            81.8905             0.439038            -288.165            0.575977            
0.0834645           6144                1.18429             0.160461            54.8822             1.51139             -192.527            0.555301            
0.0869422           6400                1.13474             0.192377            33.6762             0.825965            -119.177            0.698637            
0.0904198           6656                1.0198              0.184207            14.657              1.35313             -54.2366            0.690694            
0.0938975           6912                0.871259            0.173419            8.68796             1.23399             -37.9438            0.673801            
0.0973752           7168                0.708148            0.153844            11.5038             1.17121             -54.0097            0.615042            
0.100853            7424                0.57778             0.137762            23.1027             1.01196             -101.998            0.567131            
0.104331            7680                0.445359            0.114618            30.3258             2.2252              -131.822            0.478641            
0.107808            7936                0.385654            0.109682            29.4528             2.58606             -130.191            0.461562            
0.111286            8192                0.415068            0.106538            22.6866             3.02559             -106.022            0.470839            
0.114764            8448                0.545578            0.0954729           7.92932             3.19232             -50.4836            0.43227             
0.118241            8704                0.675069            0.106077            -9.88914            3.16457             17.4016             0.474139            
0.121719            8960                0.800286            0.10909             -22.4527            3.61666             65.5291             0.512391            
0.125197            9216                1.00827             0.116915            -31.8607            4.73867             103.678             0.534379            
0.128674            9472                1.25824             0.132544            -42.8205            4.44182             148.35              0.600706            
0.132152            9728                1.40325             0.131599            -55.2435            4.97675             199.76              0.59208             
0.13563             9984                1.61556             0.140811            -60.7765            5.43317             227.819             0.607884            
0.139107            10240               1.77105             0.16093             -68.9871            4.7687              264.679             0.681995            
0.142585            10496               1.85402             0.178962            -71.4432            4.33581             280.813             0.732823            
0.146063            10752               1.87645             0.196424            -73.1644            4.2558              295.854             0.782287            
0.149541            11008               1.8969              0.20204             -68.0981            3.06577             284.96              0.785611            
0.153018            11264               1.91033             0.211384            -54.8584            2.611               241.987             0.794683            
0.156496            11520               1.99769             0.247354            -45.1279            2.16803             212.233             0.912054            
0.159974            11776               1.98216             0.307643            -27.1833            1.88856             149.536             1.13725             
0.163451            12032               1.94611             0.341255            -3.69316            2.38809             65.0595             1.25843             
0.166929            12288               1.88748             0.39817             19.3104             2.16992             -18.6503            1.44291             
0.170407            12544               1.75556             0.508733            38.9273             2.15207             -94.3091            1.82944             
0.173884            12800               1.54476             0.642508            61.9508             2.33343             -182.518            2.30434             
0.177362            13056               1.2523              0.75001             84.1335             2.14303             -270.182            2.72427             
0.18084             13312               1.03032             0.753888            102.95              2.28877             -344.79             2.69646             
0.184317            13568               0.707235            0.535927            117.69              2.05538             -406.722            1.80131             
0.187795            13824               0.583439            0.384               133.943             1.98386             -474.797            1.17501             
0.191273            14080               0.609177            0.374646            138.22              2.65511             -497.381            1.16633             
0.19475             14336               0.61884             0.460244            139.124             0.988347            -507.801            1.58723             
0.198228            14592               0.682713            0.445832            138.826             1.05817             -512.708            1.58407             
0.201706            14848               0.863786            0.340052            136.353             2.3382              -508.31             1.16594             
0.205183            15104               1.19538             0.357171            137.643             0.35448             -517.182            1.2533              
0.208661            15360               1.39114             0.293872            134.249             -0.137973           -510.043            1.00638             
0.212139            15616               1.64866             0.343218            130.007             -0.558888           -496.218            1.17332             
0.215617            15872               1.80701             0.372089            120.19              -1.18936            -461.807            1.3006              
0.219094            16128               1.74925             0.458289            108.086             -2.35784            -417.484            1.6026              
0.222572            16384               1.853               0.509057            92.2147             -2.382              -355.108            1.77928             
0.22605             16640               1.9007              0.514488            80.1194             -3.83869            -307.776            1.78097             
0.229527            16896               1.96823             0.486457            65.8839             -3.38023            -250.902            1.7753              
0.233005            17152               1.87783             0.367918            55.7364             -3.49118            -209.569            1.3339              
0.236483            17408               1.79092             0.447058            44.8153             -3.43626            -164.785            1.6054              
0.23996             17664               1.65993             0.54152             42.7862             -3.05714            -155.088            2.05181             
0.243438            17920               1.39332             0.539264            34.2431             -4.06801            -119.374            1.9859              
0.246916            18176               1.16192             0.48918             24.7265             -4.01034            -80.5513            1.7143              
0.250393            18432               1.10391             0.512196            15.7159             -5.3349             -44.5711            1.85996             
0.253871            18688               0.909964            0.442958            -3.12394            -3.81583            27.819              1.48034             
0.257349            18944               0.901038            0.43345             -18.5119            -5.01369            85.7499             1.46209             
0.260826            19200               1.11947             0.229455            -29.233             -3.69865            126.756             0.742631            
0.264304            19456               1.2172              0.32113             -39.2632            -5.17104            164.247             1.13348             
0.267782            19712               1.08445             0.299217            -42.5594            -4.51265            177.032             1.04045             
0.27126             19968               0.979537            0.245528            -41.7526            -5.03599            173.012             0.837891            
0.274737            20224               0.882042            0.181647            -44.4697            -4.6531             184.277             0.569563            
0.278215            20480               0.904275            0.398186            -51.7563            -2.9345             212.32              1.43687             
0.281693            20736               0.843511            0.536846            -62.7601            -2.84522            252.949             1.96971             
0.28517             20992               0.906801            0.509871            -70.676             -2.17828            283.317             1.89828             
0.288648            21248               0.888914            0.332539            -81.0773            -1.99094            321.925             1.23805             
0.292126            21504               0.931288            0.322048            -88.483             -0.623776           351.495             1.24155             
0.295603            21760               0.986001            0.320784            -98.6747            -0.83529            394.044             1.24785             
0.299081            22016               1.00835             0.293372            -116.919            0.264395            463.273             1.06706             
0.302559            22272               1.18944             0.271294            -136.765            1.97422             541.104             0.946938            
0.306036            22528               1.18857             0.307723            -158.024            2.58386             622.619             1.03921             
0.309514            22784               1.33558             0.348288            -173.808            3.59774             684.141             1.23529             
0.312992            23040               1.4182              0.467969            -179.696            2.80726             707.32              1.76638             
0.316469            23296               1.60641             0.621272            -185.643            4.37124             731.552             2.32534             
0.319947            23552               1.51114             0.688472            -187.166            3.82134             737.528             2.55107             
0.323425            23808               1.40447             0.697178            -186.278            3.8378              736.908             2.63343             
0.326903            24064               1.37897             0.864211            -182.152            3.71142             722.579             3.22966             
0.33038             24320               1.05643             1.08847             -173.805            1.79868             690.784             4.0199              
0.333858            24576               1.24978             1.19228             -153.695            1.73548             615.963             4.47523             
0.337336            24832               1.13074             1.03257             -139.294            -0.377377           560.794             3.85104             
0.340813            25088               0.734692            0.724281            -121.157            -0.188983           489.676             2.67167             
0.344291            25344               0.326472            0.362698            -105.54             0.322039            428.128             1.33312             
0.347769            25600               0.353703            0.185017            -95.7507            -0.0972791          390.482             0.744439            
0.351246            25856               0.463281            0.149094            -96.9843            1.14376             393.436             0.591287            
0.354724            26112               0.561314            0.0858806           -92.7584            2.09461             377.965             0.289752            
0.358202            26368               0.65153             0.0709347           -84.7348            -0.136049           348.485             0.176965            
0.361679            26624               0.667083            0.0356378           -77.1696            0.398387            319.562             -0.0193779          
0.365157            26880               0.920513            -0.0563753          -58.4141            1.65635             249.074             -0.299119           
0.368635            27136               1.20034             -0.0583318          -32.8727            1.14623             153.414             -0.316713           
0.372112            27392               1.44765             0.0740044           -11.2531            0.797828            71.8527             0.256044            
0.37559             27648               1.55296             0.245801            -3.64546            0.265994            43.3492             0.906029            
0.379068            27904               1.74823             0.294334            -5.38708            -0.517174           45.7784             1.0989              
0.382546            28160               1.85499             0.255325            -10.6783            -0.629325           65.3415             0.97011             
0.386023            28416               1.56277             0.198758            -22.0545            0.0492888           108.145             0.850839            
0.389501            28672               1.4002              0.380682            -44.5521            -0.499811           192.261             1.46912             
0.392979            28928               1.4727              0.371121            -66.2212            0.849495            274.206             1.50435             
0.396456            29184               1.70857             0.186117            -79.4491            2.10598             327.381             0.896005            
0.399934            29440               1.75467             0.286078            -90.1643            1.64367             366.791             1.15304             
0.403412            29696               1.64968             0.24196             -94.5904            1.66948             385.867             0.936656            
0.406889            29952               1.43665             0.206047            -100.729            1.23233             411.116             0.734998            
0.410367            30208               1.61256             0.0322745           -96.3747            1.0522              395.517             -0.0149602          
0.413845            30464               1.51995             0.121325            -92.2261            0.834335            380.712             0.327493            
0.417322            30720               1.60971             0.235154            -88.8931            -0.497922           368.558             0.910555            
0.4208              30976               1.78533             0.168651            -81.9783            0.918952            340.961             0.683491            
0.424278            31232               1.56569             0.157823            -81.7835            1.40415             342.253             0.581599            
0.427755            31488               1.48579             0.287718            -76.3424            1.48256             319.788             0.946673            
0.431233            31744               1.36325             0.45942             -70.1817            3.16982             297.976             1.69347             
0.434711            32000               1.25299             0.575227            -67.0415            2.52093             283.072             2.20583             
0.438188            32256               1.00213             0.768297            -64.0804            2.95711             270.744             2.97786             
0.441666            32512               1.18366             0.891049            -67.1675            2.85935             281.336             3.40436             
0.445144            32768               1.39098             0.795567            -66.8701            3.26904             279.724             3.06723             
0.448622            33024               1.23237             0.634505            -69.5624            2.69331             289.336             2.49036             
0.452099            33280               0.982633            0.675071            -72.5547            3.83486             300.497             2.70295             
0.455577            33536               1.16072             0.572874            -77.78              2.07599             322.527             2.29908             
0.459055            33792               1.5115              0.534016            -86.5201            1.18446             356.593             2.10076             
0.462532            34048               1.69246             0.744974            -96.3786            1.54072             395.294             2.90308             
0.46601             34304               1.63793             0.647347            -105.789            1.03492             434.849             2.51595             
0.469488            34560               1.65004             0.538093            -115.031            1.81832             468.888             1.90716             
0.472965            34816               1.71159             0.220815            -119.365            2.99043             486.054             0.62644             
0.476443            35072               1.7718              0.00806231          -124.2              3.21108             502.384             -0.267448           
0.479921            35328               1.7077              0.0579842           -123.827            4.05751             501.542             -0.168774           
0.483398            35584               1.8457              -0.15766            -116.467            3.70543             474.909             -1.03751            
0.486876            35840               1.64421             -0.0764691          -107.803            1.54074             443.259             -0.684151           
0.490354            36096               1.73547             -0.0498722          -101.304            1.9558              420.064             -0.57539            
0.493831            36352               1.82551             0.015566            -96.8284            1.66769             402.721             -0.164265           
0.497309            36608               1.98673             0.223027            -94.3055            0.655313            392.994             0.636602            
0.500787            36864               1.88113             0.236145            -95.0054            2.31574             395.692             0.697776            
0.504265            37120               1.63503             0.376758            -88.9779            2.21755             371.35              1.3012              
0.507742            37376               1.61437             0.45784             -91.4372            2.18018             380.875             1.65442             
0.51122             37632               1.53319             0.521711            -78.965             0.482869            333.498             1.86729             
0.514698            37888               1.49538             0.488507            -61.253             -0.182457           267.63              1.70795             
0.518175            38144               1.51257             0.424204            -46.5528            -0.370181           212.693             1.4356              
0.521653            38400               1.5295              0.456685            -34.3724            -2.22601            168.662             1.60208             
0.525131            38656               1.53153             0.617226            -29.7617            -1.49807            151.349             2.19579             
0.528608            38912               1.25769             0.597201            -24.8857            -2.59657            133.158             2.10616             
0.532086            39168               0.866794            0.468882            -24.4064            -1.07682            132.566             1.57505             
0.535564            39424               0.774527            0.537652            -27.5367            -0.22789            145.002             1.93627             
0.539041            39680               0.994618            0.669289            -28.3852            0.284556            148.181             2.42261             
0.542519            39936               1.20459             0.536806            -38.5727            1.33891             188.239             1.9171              
0.545997            40192               1.32738             0.72831             -46.4983            1.95799             218.587             2.58719             
0.549474            40448               1.30446             0.823353            -63.0506            0.787067            279.061             2.96847             
0.552952            40704               1.40438             0.751883            -64.7134            1.35093             284.636             2.72122             
0.55643             40960               1.16237             0.557072            -68.0757            0.452621            293.302             1.92701             
0.559907            41216               1.09338             0.541925            -69.7123            0.954011            298.485             2.03842             
0.563385            41472               1.22421             0.584326            -75.7216            -0.49739            319.902             2.31329             
0.566863            41728               1.32106             0.659818            -80.4736            0.0173208           340.061             2.60688             
0.570341            41984               1.18873             0.979612            -90.6093            -1.53459            380.036             3.72609             
0.573818            42240               1.12253             0.805281            -94.9965            -1.69381            394.445             3.28201             
0.577296            42496               1.13144             0.92098             -95.3487            -1.17675            397.35              3.62241             
