#Time               nTime               force-x             force-y             force-z             moment-x            moment-y            moment-z            
0                   0                   0.000267564         0.000272194         -0.00180581         -0.000151046        0.00765348          0.00105593          
0.00347769          256                 146.67              -7.43376            -267.777            9.42071             1177.1              -30.6337            
0.00695537          512                 -428.364            -30.4593            -2083.98            12.4162             7128.09             -119.266            
0.0104331           768                 99.0625             -48.9109            -746.549            30.4176             2786.19             -190.805            
0.0139107           1024                202.387             -27.281             984.877             30.007              -3295.96            -104.999            
0.0173884           1280                346.703             -1.6514             2637.94             9.3336              -9220.97            -0.711203           
0.0208661           1536                -512.239            37.608              303.066             -48.7345            -1720.88            151.42              
0.0243438           1792                39.4149             9.1791              -472.417            -15.2802            1650.23             35.7781             
0.0278215           2048                135.548             -10.7137            -190.93             15.4799             737.928             -44.4759            
0.0312992           2304                -75.0551            -12.1554            182.934             14.0159             -808.822            -48.8081            
0.0347769           2560                -94.6538            5.52575             77.0268             -4.28584            -420.081            21.7544             
0.0382545           2816                47.1169             3.56116             -158.419            -2.96986            629.663             13.834              
0.0417322           3072                30.0688             -7.23058            -143.056            7.12911             568.495             -28.6469            
0.0452099           3328                -35.422             -10.3949            -8.5278             9.62932             -6.41195            -40.9605            
0.0486876           3584                -8.19006            -1.29745            26.0398             -0.365583           -96.275             -4.48572            
0.0521653           3840                25.7078             -0.885688           54.1424             -0.142997           -169.473            -3.06704            
0.055643            4096                5.13179             -3.68034            91.0648             1.98891             -333.979            -14.0596            
0.0591207           4352                -12.0801            -3.13457            100.669             1.62864             -390.974            -12.0274            
0.0625984           4608                0.0774249           0.654695            60.1685             -1.75168            -233.241            2.8867              
0.066076            4864                -1.82517            0.870218            15.1367             -2.41938            -68.9565            3.67277             
0.0695537           5120                -3.94552            -1.27107            11.5742             0.231274            -56.7519            -4.88757            
0.0730314           5376                -5.43473            -0.323423           2.12741             -0.80885            -21.0447            -1.07853            
0.0765091           5632                -5.2295             0.121276            -14.7967            -1.1279             44.3941             0.698134            
0.0799868           5888                -2.40716            -1.64536            -22.9894            0.922504            78.151              -6.3184             
0.0834645           6144                -2.93407            -2.04032            -14.3571            1.13614             46.8191             -7.83552            
0.0869422           6400                -1.91505            -2.61147            2.95284             2.3536              -16.2389            -10.1409            
0.0904198           6656                -1.24547            -2.79443            18.7598             2.50653             -74.6091            -10.8609            
0.0938975           6912                -2.56663            -1.99622            27.1161             1.54971             -107.556            -7.67638            
0.0973752           7168                -1.33935            -1.49362            28.4033             0.894506            -111.801            -5.72893            
0.100853            7424                -1.87677            -1.99713            27.5812             1.53799             -109.422            -7.75689            
0.104331            7680                -2.90822            -2.69211            21.346              2.74489             -87.4574            -10.6013            
0.107808            7936                -4.23582            -2.31416            7.58558             2.17012             -37.9525            -9.07972            
0.111286            8192                -4.17912            -2.77748            -3.11424            2.57011             2.08784             -10.9311            
0.114764            8448                -2.75386            -2.59489            -4.54283            2.22754             9.22532             -10.1877            
0.118241            8704                -3.05038            -2.65222            0.884199            2.4358              -10.6646            -10.4073            
0.121719            8960                -3.36871            -3.35424            3.51381             3.32231             -20.6584            -13.2204            
0.125197            9216                -2.24484            -3.29393            5.54396             3.26108             -27.232             -13.0119            
0.128674            9472                -3.37255            -3.231              6.47607             2.69967             -32.803             -12.6773            
0.132152            9728                -4.28276            -3.30822            3.70961             2.69898             -24.0031            -12.9433            
0.13563             9984                -3.47748            -3.17227            1.72424             2.48718             -16.4713            -12.4184            
0.139107            10240               -2.42916            -3.50982            8.30837             2.78869             -40.3384            -13.7765            
