#Time               nTime               force-x             force-y             force-z             moment-x            moment-y            moment-z            
0                   0                   -0.000507346        9.59129e-06         1.85211e-05         -3.98204e-06        -0.000560395        2.42295e-05         
0.00347769          256                 -3.4196             0.00365759          0.0352115           0.0681555           -3.95513            -0.108807           
0.00695537          512                 -136.199            -0.110502           -74.9602            0.803156            110.761             3.01094             
0.0104331           768                 -195.564            -0.118683           -58.3237            0.0546039           -4.35296            3.5952              
0.0139107           1024                256.229             -2.28013            50.4183             2.34619             91.0946             -14.3806            
0.0173884           1280                523.884             -4.05852            135.703             3.62072             73.5524             -20.6366            
0.0208661           1536                125.121             -0.974829           2.52856             -0.201083           125.185             3.12059             
0.0243438           1792                -194.778            1.27594             -33.4228            -1.59129            -88.4426            9.66855             
0.0278215           2048                -82.2402            1.10848             -21.3332            -0.672336           -8.63393            3.30629             
0.0312992           2304                -20.0275            0.0671485           -4.26278            0.155856            -6.93129            -2.70158            
0.0347769           2560                -69.815             0.380311            -6.14361            -0.204883           -53.5687            0.441441            
0.0382545           2816                -4.20522            0.230845            -4.76385            -0.0897651          12.8266             0.0842018           
0.0417322           3072                -3.34507            0.0508683           -3.80822            -0.0426797          9.44544             0.336459            
0.0452099           3328                6.34526             -0.160846           -1.71834            0.140032            12.0087             -0.880709           
0.0486876           3584                14.8022             -0.218086           0.811998            0.108333            12.2826             -0.891105           
0.0521653           3840                16.0069             -0.161435           3.78485             0.0708286           2.86983             -0.477664           
0.055643            4096                31.4141             -0.28344            2.91674             0.138096            22.8309             -0.753748           
0.0591207           4352                13.7305             -0.203587           3.0699              0.0838168           3.13361             -0.618106           
0.0625984           4608                11.6846             -0.104496           1.18934             0.026388            8.09888             -0.276449           
0.066076            4864                2.35555             -0.0369427          -0.578715           -0.0582487          4.41361             0.183817            
0.0695537           5120                -2.03066            -0.0171425          -0.852171           -0.0281747          0.69348             0.14901             
0.0730314           5376                -1.10636            -0.0211101          -0.965257           -0.0397466          2.08662             0.0215906           
0.0765091           5632                -3.07187            -0.020853           -1.17315            -0.0237811          0.666141            0.0152263           
