#Time               nTime               force-x             force-y             force-z             moment-x            moment-y            moment-z            
0                   0                   -0.000144035        -0.000311386        -0.000123695        0.000393953         0.000295297         -0.0012666          
0.00347769          256                 12.0815             -76.0619            -11.4961            85.5478             59.8576             -283.925            
0.00695537          512                 16.8088             -323.7              -109.081            392.396             416.298             -1188.58            
0.0104331           768                 9.06277             -285.005            -32.2048            314.671             125.723             -1081.48            
0.0139107           1024                7.542               166.533             79.2803             -212.759            -281.989            602.004             
0.0173884           1280                13.6876             632.471             153.65              -740.257            -548.292            2347.89             
0.0208661           1536                -6.3622             533.875             44.4508             -589.263            -185.233            2054.63             
0.0243438           1792                -7.64607            -32.6523            -53.829             56.0813             191.763             -118.664            
0.0278215           2048                -1.02316            -341.345            -46.6488            382.339             176.221             -1288.92            
0.0312992           2304                3.01799             -81.7022            1.52089             87.3392             -3.23009            -305.281            
0.0347769           2560                -7.14834            56.1421             4.50327             -61.089             -27.9229            226.97              
0.0382545           2816                -0.813401           -47.7502            -11.7277            55.6703             43.5808             -180                
0.0417322           3072                3.94113             -79.2759            -7.99655            87.6808             35.6104             -303.417            
0.0452099           3328                1.95413             3.38033             5.67221             -5.99201            -20.2048            16.0433             
0.0486876           3584                1.36729             33.5685             5.16996             -38.0152            -17.821             128.581             
0.0521653           3840                1.72132             11.058              4.59764             -14.0302            -14.4695            40.9435             
0.055643            4096                2.89481             19.3277             6.1062              -23.3931            -19.2528            72.5765             
0.0591207           4352                1.32032             31.6395             6.03037             -36.4051            -20.9653            121.054             
0.0625984           4608                0.922467            16.7124             2.49159             -19.0038            -8.23975            64.6265             
0.066076            4864                1.0485              2.35772             -0.403318           -2.43194            2.81684             9.74067             
0.0695537           5120                0.72079             -2.69724            -0.410704           2.97671             2.34693             -8.91554            
0.0730314           5376                0.561435            -1.94142            -0.0202619          2.03167             0.578002            -5.94542            
0.0765091           5632                0.49373             -2.05867            -0.822184           2.5131              3.53405             -6.51064            
0.0799868           5888                0.700743            -5.54202            -1.10766            6.32038             4.82883             -20.0037            
0.0834645           6144                0.87677             -4.9855             -0.287349           5.35938             2.01288             -18.1491            
0.0869422           6400                0.811785            -0.905533           0.461569            0.688474            -0.840584           -2.70991            
0.0904198           6656                0.804074            3.20329             1.38163             -4.10269            -4.28268            12.6196             
0.0938975           6912                0.661959            5.24433             1.73719             -6.44315            -5.75307            20.3629             
0.0973752           7168                0.556552            5.85444             1.9082              -7.16748            -6.46864            22.4393             
0.100853            7424                0.417722            4.16155             1.42855             -5.15965            -4.78587            16.2192             
0.104331            7680                0.338567            1.55103             0.979316            -2.18138            -3.25486            6.46107             
0.107808            7936                0.273527            0.38356             0.43665             -0.674863           -1.33072            2.17552             
0.111286            8192                0.4019              -3.05535            -0.148893           3.25265             0.96398             -10.8179            
0.114764            8448                0.523292            -4.40577            -0.0422577          4.65799             0.712051            -15.8834            
0.118241            8704                0.579892            -1.93645            0.355649            1.86251             -0.741469           -6.44813            
0.121719            8960                0.815733            -0.252362           0.424617            0.0466916           -0.765301           0.188486            
0.125197            9216                0.930419            -0.500587           0.680482            0.195232            -1.55186            -0.234667           
0.128674            9472                1.2132              -0.139179           0.746022            -0.182516           -1.55421            1.05053             
0.132152            9728                1.36092             0.189344            0.379704            -0.370288           -0.039925           2.58401             
0.13563             9984                1.28379             -0.983042           0.282442            0.908378            0.286082            -2.07926            
0.139107            10240               1.36676             -1.71117            0.53938             1.5657              -0.508012           -5.01024            
0.142585            10496               1.25298             -0.0098663          1.2306              -0.560737           -3.19833            1.55637             
0.146063            10752               0.805424            2.14899             1.64209             -3.13756            -5.1339             9.03426             
0.149541            11008               0.812487            2.92517             1.95956             -4.10049            -6.27056            12.0112             
0.153018            11264               0.978012            3.3555              2.10632             -4.58197            -6.6338             13.8398             
0.156496            11520               0.86109             3.85481             2.11555             -5.13479            -6.764              15.5385             
0.159974            11776               0.923621            4.59598             2.28649             -5.98354            -7.34957            18.282              
0.163451            12032               0.839985            5.66403             2.39885             -7.17716            -7.87351            22.3116             
0.166929            12288               0.654648            5.60412             2.15493             -7.02944            -7.16875            21.8284             
0.170407            12544               0.721986            5.13534             1.88589             -6.37545            -6.11723            20.0078             
0.173884            12800               0.811902            4.16358             1.44494             -5.12728            -4.44607            16.5162             
0.177362            13056               0.820026            3.73518             1.18818             -4.55659            -3.51248            15.0824             
0.18084             13312               0.750923            3.0728              1.1344              -3.83081            -3.43793            12.3493             
0.184317            13568               0.678791            2.65295             1.20939             -3.38214            -3.83616            10.7853             
0.187795            13824               0.74044             0.239862            0.968406            -0.698035           -2.86962            1.62862             
0.191273            14080               0.743903            -1.09236            0.695792            0.845818            -1.79488            -3.23417            
0.19475             14336               0.66709             0.354046            1.01304             -0.827056           -3.06445            2.37319             
0.198228            14592               0.661365            2.55691             1.26361             -3.28331            -4.06511            10.8968             
0.201706            14848               0.834183            3.54629             1.15056             -4.3142             -3.49242            14.4876             
0.205183            15104               0.880269            4.56758             1.10367             -5.38042            -3.27495            18.6677             
0.208661            15360               0.936905            4.42292             0.758567            -5.06611            -1.94721            18.5405             
0.212139            15616               0.995817            3.41352             0.744924            -3.98978            -1.84905            14.739              
0.215617            15872               1.0025              2.94755             0.633006            -3.44485            -1.42733            13.2562             
0.219094            16128               0.879238            4.72101             0.999324            -5.46116            -2.92038            20.1322             
0.222572            16384               0.896299            4.56119             0.830193            -5.2252             -2.3165             19.4635             
0.22605             16640               1.06483             3.26233             0.569095            -3.74819            -1.25995            14.3023             
0.229527            16896               0.908656            3.18226             1.01421             -3.85346            -2.98599            14.2043             
0.233005            17152               0.817138            3.78966             0.94188             -4.48421            -2.82082            16.3298             
0.236483            17408               0.724261            3.5639              1.14594             -4.33364            -3.67833            15.6055             
0.23996             17664               0.539273            2.68705             0.736015            -3.22805            -2.38679            12.2679             
0.243438            17920               0.501263            -0.431178           -0.272658           0.511742            1.32357             0.0565274           
0.246916            18176               0.43537             -2.06724            -0.457401           2.34069             1.98009             -6.56571            
0.250393            18432               0.41294             -2.05494            -0.411577           2.31487             1.82816             -6.52605            
0.253871            18688               0.350253            -3.0703             -0.658616           3.50367             2.66574             -10.3603            
0.257349            18944               0.443404            -4.15261            -0.275407           4.48033             1.42057             -15.1342            
0.260826            19200               0.474022            -2.13015            0.648465            1.91006             -1.97623            -7.49347            
0.264304            19456               0.401861            2.79996             0.841138            -3.39866            -2.76243            11.0378             
0.267782            19712               0.461641            4.27229             0.743963            -4.93666            -2.31014            16.7832             
0.27126             19968               0.525741            2.49062             0.389297            -2.88517            -0.931106           10.1068             
0.274737            20224               0.593497            -0.766842           0.00284994          0.747439            0.569042            -2.1421             
0.278215            20480               0.496432            -1.76175            -0.0761185          1.83694             0.751366            -5.97651            
0.281693            20736               0.544405            -0.765931           0.218133            0.666316            -0.220279           -2.24096            
0.28517             20992               0.400958            0.697184            0.271794            -0.94882            -0.608768           3.01581             
0.288648            21248               0.537948            0.252207            -0.235031           -0.252806           1.42093             1.16132             
0.292126            21504               0.533828            -1.34325            -0.565279           1.56911             2.67557             -4.85718            
0.295603            21760               0.575896            -2.01874            -0.491895           2.27776             2.39801             -7.50244            
0.299081            22016               0.678164            -1.62252            -0.173867           1.736               1.41427             -5.88903            
0.302559            22272               0.72319             -2.0456             -0.0452615          2.11622             0.984901            -7.476              
0.306036            22528               0.76999             -1.10112            0.377748            0.898685            -0.495069           -4.14923            
0.309514            22784               0.827269            0.624096            0.758444            -1.10797            -1.91351            2.45672             
0.312992            23040               0.986076            0.63156             0.754792            -1.13234            -1.58841            2.35473             
0.316469            23296               0.928679            0.884775            0.71113             -1.38797            -1.4678             3.62966             
0.319947            23552               1.05465             0.21875             0.841385            -0.713897           -1.85757            1.06123             
0.323425            23808               0.943885            1.689               1.47675             -2.54654            -4.31798            6.71059             
0.326903            24064               0.895898            3.67584             1.42219             -4.62547            -4.23509            14.0517             
0.33038             24320               0.773479            2.38795             1.5954              -3.29848            -4.96105            9.46456             
0.333858            24576               0.737719            1.89049             1.35025             -2.66378            -4.1128             7.42153             
0.337336            24832               0.668137            1.58054             1.248               -2.30553            -3.86861            6.38618             
0.340813            25088               0.606748            2.08367             0.825096            -2.6523             -2.43025            8.20211             
0.344291            25344               0.633736            -0.0597256          0.503844            -0.221694           -1.0698             0.199967            
0.347769            25600               0.72911             -1.31012            0.744762            0.978623            -1.90804            -4.50858            
0.351246            25856               0.745511            0.378393            0.660282            -0.77168            -1.6373             1.92356             
0.354724            26112               0.585079            2.06719             1.17336             -2.79046            -3.72803            8.49172             
0.358202            26368               0.482908            3.95854             1.87584             -5.1235             -6.48101            15.5374             
0.361679            26624               0.527946            8.17344             1.8696              -9.59023            -6.46411            31.4107             
0.365157            26880               0.413892            9.09526             2.26817             -10.7446            -8.1437             35.3491             
0.368635            27136               0.394489            6.45378             1.28025             -7.51556            -4.52994            25.8819             
0.372112            27392               0.445236            1.10835             0.330458            -1.4076             -0.961771           5.84813             
0.37559             27648               0.387746            -4.59529            -0.210968           4.93052             1.01535             -15.7284            
0.379068            27904               0.448756            -5.07311            -0.654877           5.66798             2.65704             -17.8938            
0.382546            28160               0.377921            -5.47856            -0.789435           6.16227             3.20332             -19.4019            
0.386023            28416               0.581498            -6.39239            -0.752799           7.10451             3.42584             -23.7025            
0.389501            28672               0.622709            -5.61604            -0.495467           6.15012             2.50073             -20.689             
0.392979            28928               0.914363            -3.02018            0.139088            3.07166             0.547601            -11.1832            
0.396456            29184               0.894842            0.897646            0.779492            -1.38648            -1.82556            3.86226             
0.399934            29440               1.10475             2.77112             1.1353              -3.54336            -2.98017            11.1491             
0.403412            29696               1.18678             4.76468             1.95938             -6.00536            -5.94855            18.8517             
0.406889            29952               1.09464             7.03958             1.73957             -8.29935            -5.31538            27.4866             
0.410367            30208               1.15153             5.66199             1.60562             -6.78435            -4.78921            22.5273             
0.413845            30464               1.08078             4.69121             1.77348             -5.85342            -5.49347            18.7103             
0.417322            30720               1.07196             5.45429             1.79467             -6.67499            -5.49996            21.6852             
0.4208              30976               1.06996             6.17483             1.74482             -7.42481            -5.34477            24.329              
0.424278            31232               0.890028            5.28097             0.983431            -6.15942            -2.69608            21.0275             
0.427755            31488               0.896106            3.84052             0.899875            -4.5529             -2.31816            15.2116             
0.431233            31744               0.825987            1.10273             1.00546             -1.69465            -2.82429            5.04256             
0.434711            32000               0.844366            0.205602            0.493002            -0.518454           -0.870689           1.44126             
0.438188            32256               0.777744            -2.21389            -0.00281769         2.26262             0.836297            -7.39333            
0.441666            32512               0.768473            -2.48233            0.698751            2.22103             -1.7017             -8.87592            
0.445144            32768               0.814361            0.143765            0.739664            -0.571817           -1.84827            1.3491              
0.448622            33024               0.821839            1.62518             0.59363             -2.0516             -1.32867            7.21838             
0.452099            33280               1.00915             -0.948233           0.0985259           0.951138            0.790462            -2.31823            
