#Time               nTime               force-x             force-y             force-z             moment-x            moment-y            moment-z            
0                   0                   5.47365e-05         -1.98441e-06        -0.00163532         3.81191e-05         0.00651271          -7.3992e-06         
0.00347769          256                 10.0452             0.535418            79.8173             0.273903            -315.142            2.16942             
0.00695537          512                 -18.4144            2.23173             -150.778            -6.60877            515.775             9.4929              
0.0104331           768                 0.599264            -0.970136           425.646             -7.85875            -1694.6             -4.01734            
0.0139107           1024                9.06782             -3.40064            887.593             3.31088             -3480.5             -13.8699            
0.0173884           1280                12.6466             -4.3986             772.938             -1.23463            -2957.28            -18.023             
0.0208661           1536                -22.1211            -0.431788           46.3118             0.125321            -218.593            -1.63776            
0.0243438           1792                3.39891             2.7864              -606.252            -4.78794            2380.61             11.3756             
0.0278215           2048                9.53424             2.37196             -534.17             1.58243             2101.4              9.55814             
0.0312992           2304                -4.83357            0.216092            -303.244            2.70282             1204.23             0.760023            
0.0347769           2560                -5.78795            -0.17146            -52.0505            0.771097            200.431             -0.792771           
0.0382545           2816                2.47856             0.685191            -16.6228            -0.691642           59.5536             2.79992             
0.0417322           3072                2.01046             0.195669            14.5729             0.512771            -54.6685            0.80403             
0.0452099           3328                -1.70969            -0.929121           107.478             -0.162447           -428.84             -3.76854            
0.0486876           3584                -1.37035            -0.296583           99.9157             0.0812224           -395.02             -1.18535            
0.0521653           3840                1.72351             -0.0207575          75.3439             -0.524513           -295.422            -0.0521261          
0.055643            4096                -0.0253103          -0.255185           45.7536             -0.37711            -179.057            -1.02216            
0.0591207           4352                -0.780648           -0.341676           23.5159             -0.545066           -91.2272            -1.37208            
0.0625984           4608                -0.0203631          0.0934984           -5.51513            0.0891226           21.6904             0.389681            
0.066076            4864                -0.0879535          0.205969            -27.3103            -0.55566            107.694             0.843298            
0.0695537           5120                -0.166452           0.032453            -20.0485            -0.194542           78.8978             0.12756             
0.0730314           5376                -0.389797           0.0207478           -8.87223            -0.290828           33.9215             0.0874354           
0.0765091           5632                -0.283212           0.0965597           -0.733032           -0.206968           2.31426             0.394229            
0.0799868           5888                -0.182558           -0.00729203         7.5359              -0.15068            -31.0715            -0.0248728          
0.0834645           6144                -0.22217            -0.0728948          14.2845             -0.424536           -57.0836            -0.28721            
0.0869422           6400                -0.181234           -0.0784578          19.3691             0.090122            -76.8995            -0.312608           
0.0904198           6656                -0.180366           -0.123595           19.6138             -0.127639           -77.5905            -0.495699           
0.0938975           6912                -0.226682           -0.0971047          16.5828             -0.141766           -65.3249            -0.388964           
0.0973752           7168                -0.188278           -0.0518275          11.908              -0.331979           -47.0253            -0.201285           
0.100853            7424                -0.182086           -0.0556194          8.42207             -0.050594           -33.1536            -0.218839           
0.104331            7680                -0.221817           -0.0765299          6.62916             0.0186978           -26.2929            -0.302928           
0.107808            7936                -0.284006           -0.04927            6.45661             0.0119339           -26.0408            -0.190315           
0.111286            8192                -0.250874           -0.0651242          7.94868             -0.0725483          -32.1421            -0.252435           
0.114764            8448                -0.194872           -0.0671569          11.1951             -0.0808651          -44.9385            -0.260132           
0.118241            8704                -0.197604           -0.0572312          15.7143             0.0331903           -62.6124            -0.222288           
0.121719            8960                -0.256159           -0.106426           17.1655             0.0816477           -68.3189            -0.424336           
0.125197            9216                -0.181402           -0.0996054          17.2331             -0.0442756          -68.5265            -0.394583           
0.128674            9472                -0.214701           -0.0961712          16.5485             0.0412229           -65.8869            -0.379213           
0.132152            9728                -0.317276           -0.0811433          15.3504             -0.0991429          -61.2941            -0.31918            
0.13563             9984                -0.24596            -0.0534329          14.1244             -0.230224           -56.5226            -0.20649            
0.139107            10240               -0.222427           -0.0693161          13.187              -0.0695832          -52.5669            -0.272829           
0.142585            10496               -0.303727           -0.0580553          14.4464             -0.237666           -57.4641            -0.228468           
0.146063            10752               -0.272712           -0.0534973          16.042              -0.149648           -63.5161            -0.211055           
0.149541            11008               -0.245635           -0.0820077          16.2789             -0.290805           -64.408             -0.324425           
0.153018            11264               -0.211229           -0.0476266          15.8226             -0.299374           -62.5121            -0.184773           
0.156496            11520               -0.111498           -0.0296665          15.9181             -0.328311           -62.8613            -0.110675           
0.159974            11776               -0.0992079          -0.0205484          15.4046             -0.366578           -60.7398            -0.074223           
0.163451            12032               -0.0803597          -0.00583762         15.1363             -0.373894           -59.6611            -0.0121601          
0.166929            12288               -0.0572036          -0.00459737         13.7146             -0.330724           -54.0302            -0.00787176         
0.170407            12544               0.0377662           -0.0038562          12.2403             -0.281753           -48.1705            -0.00392798         
0.173884            12800               0.0193033           0.00303217          10.3319             -0.17153            -40.7712            0.0221369           
0.177362            13056               0.0209601           0.00627337          8.39252             -0.198098           -33.1966            0.0379904           
0.18084             13312               0.0655934           0.0285685           7.92282             -0.178251           -31.3143            0.127577            
0.184317            13568               0.0419989           0.0249448           7.47058             -0.238912           -29.5562            0.110971            
0.187795            13824               -0.00811374         0.00254467          6.72361             -0.259037           -26.7447            0.0211409           
0.191273            14080               0.106517            -0.00911404         7.42334             -0.0956192          -29.4412            -0.025572           
0.19475             14336               0.118436            0.0329324           7.9387              -0.150597           -31.3351            0.144824            
0.198228            14592               0.0549383           0.0246374           8.90567             -0.198771           -35.1663            0.107119            
0.201706            14848               0.133679            -0.0205111          9.30868             -0.103979           -36.6757            -0.0744879          
0.205183            15104               0.175824            0.0118031           7.27424             -0.0875459          -28.6099            0.0572402           
0.208661            15360               0.123155            0.0369473           5.03322             0.0147322           -19.7755            0.160344            
0.212139            15616               0.203255            -0.0345358          4.86894             -0.160932           -19.1695            -0.129862           
0.215617            15872               0.167827            -0.010226           4.94366             0.266861            -19.4734            -0.0274913          
0.219094            16128               0.103518            0.0370864           5.39402             -0.150469           -21.2767            0.167796            
0.222572            16384               0.174922            -0.00217011         8.06382             -0.122306           -32.0359            0.00872279          
0.22605             16640               0.106255            -0.0220765          7.55432             0.00509731          -30.0087            -0.0699213          
0.229527            16896               0.112442            0.00119775          8.0458              -0.134777           -31.9088            0.0260155           
0.233005            17152               0.128666            0.00181176          8.47479             -0.0407294          -33.5179            0.0256625           
0.236483            17408               0.115024            -0.0186131          8.6667              0.170835            -34.2326            -0.0557228          
0.23996             17664               -0.0380371          -0.0381117          6.98824             -0.0991562          -27.9816            -0.134746           
0.243438            17920               0.0012892           -0.0479942          6.03047             0.134131            -24.4338            -0.172234           
0.246916            18176               0.00447235          -0.0457607          5.65322             0.116439            -22.9937            -0.165045           
0.250393            18432               -0.134528           -0.024793           4.54133             0.0724727           -18.654             -0.0778603          
0.253871            18688               -0.104605           -0.0330013          4.23623             0.155549            -17.5653            -0.11923            
0.257349            18944               -0.117569           -0.0978113          4.17671             0.0350884           -17.1502            -0.376431           
0.260826            19200               -0.044914           -0.0434332          6.03315             -0.140503           -24.1881            -0.159359           
0.264304            19456               -0.0729056          0.0113154           5.68422             0.0541455           -22.6435            0.0562473           
0.267782            19712               -0.11               0.0141235           2.76675             -0.227531           -11.277             0.0682855           
0.27126             19968               -0.0498531          0.0272388           0.284812            -0.0988147          -1.53474            0.124632            
0.274737            20224               -0.0864597          -0.0125282          -1.18388            -0.0895202          4.14532             -0.0381621          
0.278215            20480               -0.127904           -0.0159005          -0.296749           -0.176144           0.566942            -0.0491896          
0.281693            20736               -0.0548445          0.0165228           0.852745            0.117488            -3.71523            0.0827928           
0.28517             20992               -0.0360256          0.0237297           2.85915             -0.203626           -11.7632            0.10774             
0.288648            21248               -0.078156           0.0378886           1.71626             -0.13743            -7.25042            0.160387            
0.292126            21504               -0.116445           0.0277478           -0.0344541          -0.138296           -0.630258           0.117125            
0.295603            21760               -0.101732           0.073248            -0.788993           -0.241068           2.3211              0.298278            
0.299081            22016               -0.0733535          0.0654601           0.415634            -0.193838           -2.23279            0.260748            
0.302559            22272               -0.171704           0.0167239           2.36317             -0.309344           -10.2111            0.0655376           
0.306036            22528               -0.0929355          0.00032875          5.39505             -0.164269           -21.7355            -0.0012802          
0.309514            22784               -0.0851204          -0.0368855          8.35947             -0.321138           -33.6617            -0.148599           
0.312992            23040               -0.101716           -0.0684648          8.3913              0.0214917           -33.3574            -0.2724             
0.316469            23296               -0.0443961          -0.0773091          8.52358             -0.0942061          -34.1992            -0.303164           
0.319947            23552               -0.00584573         -0.0717768          7.68841             -0.0263233          -30.5422            -0.277767           
0.323425            23808               0.0477326           -0.0922884          9.79162             -0.0877904          -38.763             -0.359531           
0.326903            24064               0.0782678           -0.0904778          9.93048             0.0168636           -39.1043            -0.357581           
0.33038             24320               0.0327596           -0.0894535          9.20156             0.0269591           -36.3636            -0.352566           
0.333858            24576               0.0630413           -0.130347           9.26986             0.0857995           -36.6122            -0.51619            
0.337336            24832               0.0432744           -0.0843665          8.51108             0.0564702           -33.7964            -0.326311           
0.340813            25088               -0.0290271          -0.0949594          5.99568             0.0363816           -24.0618            -0.367558           
0.344291            25344               0.0469047           -0.0223957          2.82261             0.0204674           -11.4972            -0.0683815          
0.347769            25600               0.21855             -0.0261834          3.78649             -0.145673           -15.2036            -0.0838156          
0.351246            25856               0.0954223           -0.0783491          5.916               0.101849            -23.5127            -0.296236           
0.354724            26112               0.118296            -0.0705339          7.21817             -0.143131           -28.5836            -0.263732           
0.358202            26368               0.22578             -0.0171611          9.26287             -0.163943           -36.4401            -0.0422794          
0.361679            26624               0.169407            -0.0255648          10.1183             0.199947            -39.7454            -0.0802808          
0.365157            26880               0.175443            -0.11509            10.6731             -0.148868           -41.8264            -0.440758           
0.368635            27136               0.118585            -0.068161           6.79453             0.201434            -26.9609            -0.246885           
0.372112            27392               0.080206            -0.0726891          2.85892             -0.10483            -11.8182            -0.26316            
0.37559             27648               0.153757            -0.10337            2.98184             0.147575            -12.5799            -0.388512           
0.379068            27904               0.0259239           -0.075416           4.28209             0.373176            -17.7903            -0.283587           
0.382546            28160               -0.0118576          -0.141983           6.3492              0.235337            -26.217             -0.554305           
0.386023            28416               0.051644            -0.129093           6.22155             0.188626            -25.3795            -0.498152           
0.389501            28672               0.0691436           -0.0833829          7.24408             0.164774            -29.3959            -0.315345           
0.392979            28928               0.014274            -0.139419           7.66952             0.0183799           -30.6642            -0.542485           
0.396456            29184               0.110986            -0.110425           8.39144             -0.139485           -33.4213            -0.427609           
0.399934            29440               0.134146            -0.0216429          6.34393             -0.12585            -25.1352            -0.0659228          
0.403412            29696               0.0550795           -0.0376281          6.50065             -0.480969           -25.7278            -0.133831           
0.406889            29952               0.174562            -0.0410688          8.22682             -0.177728           -32.484             -0.158805           
0.410367            30208               -0.0124164          -0.0616171          6.92671             -0.355055           -27.6728            -0.242401           
0.413845            30464               0.111668            -0.00269648         8.74652             -0.476358           -34.8175            -0.014673           
0.417322            30720               0.0860845           -0.0545088          11.6555             -0.107923           -46.4165            -0.225451           
0.4208              30976               0.0647139           -0.0811789          11.2367             -0.363242           -44.6037            -0.336701           
0.424278            31232               0.0950361           -0.0257191          10.8882             -0.19052            -43.4743            -0.116264           
0.427755            31488               0.180343            -0.0427586          10.225              0.141427            -40.5539            -0.193735           
0.431233            31744               0.184332            -0.162732           10.5082             -0.0690951          -41.7498            -0.675063           
0.434711            32000               0.0660537           -0.114212           7.69                0.128074            -30.8488            -0.470605           
0.438188            32256               0.104582            -0.0692614          6.31468             0.262125            -25.5946            -0.297345           
0.441666            32512               0.150712            -0.118908           7.82775             -0.0672994          -31.3477            -0.498162           
0.445144            32768               0.105307            -0.0691137          9.07921             0.145976            -36.1452            -0.297604           
0.448622            33024               0.123171            -0.0917477          9.92758             0.0386366           -39.6467            -0.388615           
0.452099            33280               -0.0662983          -0.110012           5.85407             0.0274744           -23.9094            -0.4545             
0.455577            33536               0.073954            -0.056581           6.27227             0.114154            -25.5686            -0.244271           
0.459055            33792               0.071383            -0.0720324          7.67411             0.0420438           -30.8074            -0.303664           
0.462532            34048               -0.0328272          -0.0377639          6.94854             -0.129074           -28.1339            -0.163716           
0.46601             34304               0.167859            -0.0564977          5.74607             -0.249077           -23.1925            -0.235833           
0.469488            34560               0.0975488           0.0142131           6.52531             -0.391372           -26.1429            0.0499989           
0.472965            34816               0.184221            0.0281559           8.57553             -0.417114           -34.0333            0.100091            
0.476443            35072               0.133399            -0.00474819         9.76644             -0.361404           -38.6682            -0.037108           
