#Time               nTime               force-x             force-y             force-z             moment-x            moment-y            moment-z            
0                   0                   1.8025e-05          0.000165698         -7.98723e-05        -0.000230446        0.00029715          0.000667159         
0.00347769          256                 10.4442             54.8996             -9.35197            -62.3501            49.4373             203.477             
0.00695537          512                 1.74925             300.706             -120.433            -371.751            439.002             1113.1              
0.0104331           768                 -13.4431            252.321             -40.1886            -282.014            131.57              950.261             
0.0139107           1024                -1.51335            -195.944            88.0385             249.345             -320.738            -712.313            
0.0173884           1280                17.3259             -548.811            162.885             655.255             -576.052            -2034.59            
0.0208661           1536                -0.989028           -389.855            36.6031             430.77              -150.566            -1511.46            
0.0243438           1792                -7.89791            125.959             -60.3615            -158.544            215.317             473.503             
0.0278215           2048                0.263305            262.692             -46.6614            -298.606            175.676             991.118             
0.0312992           2304                3.25012             -8.68711            5.32135             10.8423             -18.4435            -41.3884            
0.0347769           2560                -5.94009            -65.8408            4.65416             71.5563             -26.4298            -258.724            
0.0382545           2816                -0.00376359         69.5286             -12.8308            -79.0499            49.0217             264.587             
0.0417322           3072                1.65452             58.4697             -7.02884            -64.8913            29.3664             222.963             
0.0452099           3328                -0.441084           -29.0768            7.10414             34.08               -28.1538            -113.772            
0.0486876           3584                -0.779285           -27.9893            4.76093             32.1366             -18.0462            -105.703            
0.0521653           3840                -0.0343522          5.58716             4.11485             -3.61703            -14.0563            23.4642             
0.055643            4096                0.906454            -16.7184            6.10058             20.7364             -21.2602            -62.9322            
0.0591207           4352                -0.275215           -30.3927            5.58332             34.8941             -20.8509            -115.595            
0.0625984           4608                0.00793035          -8.56073            1.77834             10.0883             -6.43758            -32.5138            
0.066076            4864                0.11363             6.29946             -1.79785            -7.3241             7.00941             23.31               
0.0695537           5120                -0.273404           3.08435             -1.00787            -3.62256            3.43712             10.5131             
0.0730314           5376                -0.272976           1.21759             -0.933798           -1.61917            3.08181             3.4466              
0.0765091           5632                -0.306096           5.73844             -1.50628            -6.64341            5.2825              20.9789             
0.0799868           5888                -0.301609           6.72655             -1.26046            -7.57417            4.38516             24.752              
0.0834645           6144                -0.245739           3.72621             -0.661184           -4.12233            2.28856             13.6658             
0.0869422           6400                -0.244539           -0.225035           0.793899            0.738449            -3.06755            -1.0829             
0.0904198           6656                -0.235097           -2.7741             1.62354             3.83679             -6.12341            -10.6245            
0.0938975           6912                -0.321135           -4.74889            1.70994             5.97644             -6.53493            -18.052             
0.0973752           7168                -0.374145           -3.96138            1.40223             5.01678             -5.41967            -15.138             
0.100853            7424                -0.384782           -3.66444            1.45643             4.69875             -5.68068            -14.0464            
0.104331            7680                -0.331067           -2.64805            1.37162             3.5676              -5.36959            -10.4089            
0.107808            7936                -0.308019           -1.20947            0.663173            1.69428             -2.80178            -5.17767            
0.111286            8192                -0.313216           0.528098            0.0225612           -0.440082           -0.450297           1.10801             
0.114764            8448                -0.284548           1.2768              0.0882955           -1.20144            -0.657912           4.1794              
0.118241            8704                -0.238631           -0.309712           0.674818            0.744628            -2.80802            -2.00738            
0.121719            8960                -0.297991           -1.30191            0.856048            1.90039             -3.49512            -5.69619            
0.125197            9216                -0.366674           -1.3004             0.925995            1.95272             -3.74406            -5.394              
0.128674            9472                -0.339988           -1.19281            0.872443            1.81534             -3.61185            -5.36414            
0.132152            9728                -0.427213           -1.24766            0.464119            1.71042             -2.14608            -5.48633            
0.13563             9984                -0.355503           0.411767            0.0383089           -0.22432            -0.471974           1.01078             
0.139107            10240               -0.365259           0.0461227           0.510994            0.356496            -2.18166            -0.535586           
0.142585            10496               -0.360758           -1.11815            0.909667            1.78193             -3.67285            -5.08625            
0.146063            10752               -0.452999           -2.24582            1.45642             3.24532             -5.73132            -8.95607            
0.149541            11008               -0.3662             -3.12718            1.58762             4.22687             -6.13199            -12.3877            
0.153018            11264               -0.280017           -2.8474             1.37352             3.83348             -5.22109            -11.4561            
0.156496            11520               -0.230457           -2.48096            1.2974              3.41783             -4.9017             -10.1024            
0.159974            11776               -0.132988           -2.66482            1.35955             3.61648             -4.98861            -10.7614            
0.163451            12032               -0.173368           -2.75548            1.37335             3.71464             -5.08236            -11.0259            
0.166929            12288               -0.0842183          -2.67371            1.2483              3.54208             -4.54941            -10.6762            
0.170407            12544               -0.0361669          -2.03518            1.12768             2.78688             -4.08709            -8.39784            
0.173884            12800               0.078744            -1.5728             0.930399            2.18518             -3.2755             -6.78766            
0.177362            13056               -0.0238828          -0.736138           0.538714            1.12356             -1.94209            -3.65068            
0.18084             13312               -0.0756756          0.573646            0.344851            -0.355848           -1.28877            1.50453             
0.184317            13568               -0.114414           0.600915            0.417237            -0.358004           -1.60404            1.73261             
0.187795            13824               -0.0773339          0.673464            0.158336            -0.577353           -0.65059            1.85552             
0.191273            14080               -0.0841444          1.13175             0.0881499           -1.09822            -0.383519           3.57454             
0.19475             14336               -0.101053           1.31753             0.176238            -1.2494             -0.708578           4.35027             
0.198228            14592               -0.0570636          0.039657            0.491402            0.246219            -1.86096            -0.514358           
0.201706            14848               -0.0837867          -1.45842            0.679325            1.92597             -2.59662            -6.23105            
0.205183            15104               -0.0237287          -0.594499           0.669958            0.987441            -2.43264            -3.05244            
0.208661            15360               0.0488291           0.122779            0.353124            0.0817887           -1.24582            -0.206949           
0.212139            15616               0.0356384           -0.421906           0.439198            0.67666             -1.57344            -2.2983             
0.215617            15872               0.0350307           -0.495179           0.645313            0.853484            -2.40536            -2.89812            
0.219094            16128               0.0502526           0.334521            0.233568            -0.216292           -0.881675           0.361119            
0.222572            16384               0.119043            -0.0680234          0.344936            0.272222            -1.26245            -1.31863            
0.22605             16640               0.132148            -0.23197            0.388182            0.456534            -1.43253            -2.10135            
0.229527            16896               0.0928156           0.374855            0.134021            -0.293331           -0.532786           0.282453            
0.233005            17152               0.0580298           -0.212208           0.656799            0.539942            -2.4162             -1.58855            
0.236483            17408               0.109932            -0.808274           1.02956             1.34368             -3.83999            -4.16978            
0.23996             17664               0.0338025           -0.453039           0.239764            0.602475            -1.00204            -2.94159            
0.243438            17920               -0.0860215          0.638844            -0.227034           -0.756494           0.606712            1.46294             
0.246916            18176               -0.0159298          2.34356             -0.326803           -2.59338            1.07406             8.03047             
0.250393            18432               -0.0790761          2.41338             -0.547524           -2.76061            1.80927             8.26343             
0.253871            18688               -0.168649           2.85453             -0.238021           -3.08304            0.624996            10.0168             
0.257349            18944               -0.148488           2.14159             -0.231102           -2.31164            0.55669             7.37816             
0.260826            19200               -0.204712           0.734957            0.00598381          -0.694825           -0.361125           2.39529             
0.264304            19456               -0.0625875          -0.215502           0.604691            0.592605            -2.39864            -1.23697            
0.267782            19712               -0.152401           -0.016792           0.434537            0.291125            -1.77361            -0.547294           
0.27126             19968               -0.144733           1.70653             -0.0559759          -1.73664            -0.0216177          5.7632              
0.274737            20224               -0.149077           1.86936             -0.261712           -2.00524            0.77295             6.53689             
0.278215            20480               -0.239828           2.20223             -0.181892           -2.31403            0.411065            7.71751             
0.281693            20736               -0.189062           2.51163             0.0556092           -2.52829            -0.420075           8.95389             
0.28517             20992               -0.164916           2.02206             0.0150501           -2.03145            -0.207672           7.18695             
0.288648            21248               -0.18584            1.71138             -0.311871           -1.83251            0.967499            6.34053             
0.292126            21504               -0.254845           3.1786              -0.753394           -3.58636            2.50743             11.6191             
0.295603            21760               -0.237414           4.72385             -0.746927           -5.21711            2.57043             17.6186             
0.299081            22016               -0.263676           4.09057             -0.280586           -4.32953            0.906546            15.3112             
0.302559            22272               -0.300776           3.50581             -0.232453           -3.68303            0.626537            12.8774             
0.306036            22528               -0.299891           1.88865             0.295986            -1.69565            -1.26001            7.11978             
0.309514            22784               -0.28961            0.0351531           0.673305            0.443601            -2.66705            -0.0051115          
0.312992            23040               -0.263057           -1.39204            1.03188             2.12009             -3.96472            -5.30196            
0.316469            23296               -0.288889           -0.703595           0.901149            1.34309             -3.43173            -2.78828            
0.319947            23552               -0.241922           -0.735856           1.06987             1.45802             -4.01082            -2.83997            
0.323425            23808               -0.281248           -3.09691            1.41804             4.11399             -5.33286            -11.6247            
0.326903            24064               -0.172862           -3.49414            1.88722             4.74313             -6.89797            -13.0686            
0.33038             24320               -0.254157           -4.02319            1.71778             5.221               -6.38614            -15.4018            
0.333858            24576               -0.310291           -4.20879            1.63864             5.37702             -6.21594            -16.0338            
0.337336            24832               -0.176641           -4.50693            1.33666             5.5408              -5.04288            -17.6007            
0.340813            25088               -0.139146           -3.12283            0.94926             3.87159             -3.57513            -12.5244            
0.344291            25344               -0.237377           -0.319112           0.108959            0.527538            -0.489101           -1.60142            
0.347769            25600               -0.24345            1.97902             0.1831              -1.84841            -0.777841           7.40288             
0.351246            25856               -0.265506           -0.941365           0.756022            1.48875             -3.04627            -3.97523            
0.354724            26112               -0.263398           -2.38638            0.761021            3.01068             -2.98264            -9.47227            
0.358202            26368               -0.228313           -0.836877           1.18378             1.55797             -4.5085             -3.65037            
0.361679            26624               -0.0865141          -2.57704            1.9248              3.72446             -7.23068            -10.1847            
0.365157            26880               -0.104176           -4.46408            2.18972             5.80809             -8.19263            -17.7564            
0.368635            27136               -0.154345           -3.41986            1.30458             4.28971             -5.0503             -13.7709            
0.372112            27392               -0.1294             0.948603            -0.139867           -1.01181            0.343967            2.81354             
0.37559             27648               -0.22081            2.85873             -0.491329           -3.20449            1.52105             9.86266             
0.379068            27904               -0.115128           3.16304             -0.517265           -3.51594            1.66731             11.289              
0.382546            28160               -0.195661           2.58529             -0.678875           -2.97877            2.167               8.90658             
0.386023            28416               -0.232605           4.06949             -0.970284           -4.64217            3.26871             14.8755             
0.389501            28672               -0.267754           4.29827             -0.320447           -4.57122            0.985895            15.8773             
0.392979            28928               -0.30867            0.888697            0.0641381           -0.763428           -0.529918           2.9601              
0.396456            29184               -0.290942           0.0463412           0.470131            0.335452            -1.90149            -0.0871225          
0.399934            29440               -0.187267           1.25843             0.50236             -0.926549           -1.91743            4.71116             
0.403412            29696               -0.203566           0.826872            0.389806            -0.518899           -1.55451            2.8219              
0.406889            29952               -0.196163           -1.6799             1.4994              2.61715             -5.54407            -6.81251            
0.410367            30208               -0.124185           -0.256808           0.531604            0.686607            -2.02281            -1.61342            
0.413845            30464               -0.255526           1.13122             0.597324            -0.74877            -2.31056            3.99353             
0.417322            30720               -0.122763           -0.298293           0.976878            0.923842            -3.64564            -1.75165            
0.4208              30976               -0.122521           -0.922567           0.925526            1.54854             -3.39295            -3.87854            
0.424278            31232               -0.169965           0.120966            0.681531            0.335665            -2.54759            0.0240331           
0.427755            31488               -0.0366128          0.610312            1.1891              0.0291556           -4.29929            2.17172             
0.431233            31744               -0.0263005          -1.95517            1.22036             2.73112             -4.41601            -7.86288            
0.434711            32000               -0.112395           -1.39842            0.42583             1.78766             -1.61418            -5.87915            
0.438188            32256               -0.216221           1.45453             0.473203            -1.16076            -1.89555            5.21154             
0.441666            32512               -0.289933           0.401128            0.559486            -0.0334467          -2.33545            0.824824            
0.445144            32768               -0.166165           -0.683739           0.770614            1.2157              -2.98667            -2.93753            
0.448622            33024               -0.0907781          -0.778084           0.834433            1.3481              -3.19577            -3.63668            
0.452099            33280               -0.0348746          -0.690868           -0.00271781         0.841684            -0.164235           -3.53989            
0.455577            33536               -0.135486           1.08794             0.195895            -0.925287           -0.830392           3.33668             
0.459055            33792               -0.102468           0.572725            0.587131            -0.207001           -2.23951            1.42426             
0.462532            34048               -0.158615           -0.0045552          -0.0671358          0.137311            0.16986             -0.284446           
0.46601             34304               -0.25069            2.39669             -0.0871991          -2.4042             0.244745            8.53722             
0.469488            34560               -0.23721            2.94392             -0.146544           -2.99348            0.464511            11.0204             
0.472965            34816               -0.18517            1.48839             0.437522            -1.18631            -1.60269            5.60184             
0.476443            35072               -0.177365           0.612377            0.853061            -0.0771234          -3.09896            2.33925             
0.479921            35328               -0.224341           -1.25979            0.767158            1.85993             -2.83414            -4.97848            
0.483398            35584               -0.0971712          -0.696836           0.567807            1.16837             -2.04147            -2.88554            
0.486876            35840               -0.178989           0.491406            0.737103            -0.00455314         -2.67736            1.4304              
0.490354            36096               -0.136382           -0.457538           1.01921             1.12188             -3.65213            -1.72851            
0.493831            36352               -0.0712436          -1.49609            1.28352             2.31806             -4.65804            -6.10151            
0.497309            36608               -0.00931348         -2.97874            1.33542             3.91695             -4.78373            -11.6275            
0.500787            36864               0.0494469           -0.608859           0.78877             1.14534             -2.68315            -3.02802            
0.504265            37120               0.092897            -1.94988            2.31086             3.25835             -8.32447            -8.10003            
0.507742            37376               0.0831654           -7.12765            2.41671             8.77344             -8.75458            -27.5126            
0.51122             37632               -0.00111491         -6.5638             1.69992             7.89897             -6.20143            -25.3116            
0.514698            37888               -0.0735194          -3.87206            1.87812             5.13069             -7.0092             -15.3411            
