#Time               nTime               force-x             force-y             force-z             moment-x            moment-y            moment-z            
0                   0                   -5.95322e-06        7.93762e-06         -1.15757e-05        -4.9557e-06         4.20428e-05         2.94406e-05         
0.00347769          256                 -0.0765713          -0.0918897          -0.408014           0.0604727           1.56411             -0.376629           
0.00695537          512                 -12.298             -0.749501           -0.967944           0.473409            -3.68776            -2.94012            
0.0104331           768                 7.81671             -0.308507           1.6082              0.186078            -1.4146             -1.15189            
0.0139107           1024                0.0398409           -0.94522            0.494691            0.590158            -1.96375            -3.68938            
0.0173884           1280                5.77258             0.833394            2.23867             -0.51475            -5.3357             3.25026             
0.0208661           1536                -4.80761            -0.617833           -0.456292           0.394731            -1.22864            -2.40146            
0.0243438           1792                2.86148             0.0451227           -0.269354           -0.029736           2.82782             0.283421            
0.0278215           2048                1.96916             -0.467285           0.364705            0.291601            -0.237318           -1.85375            
0.0312992           2304                -2.21475            -0.02617            0.245788            0.0173079           -2.32124            -0.0975037          
0.0347769           2560                3.98826             -0.0633568          0.361806            0.0418676           1.06915             -0.24423            
0.0382545           2816                -3.60809            0.237093            -0.331529           -0.151283           -0.908328           0.964357            
0.0417322           3072                1.99191             -0.338265           0.12762             0.209031            0.752224            -1.32684            
0.0452099           3328                -0.975113           0.00240146          0.057175            -0.00255911         -0.835551           0.00736478          
0.0486876           3584                0.127496            -0.133426           0.110318            0.0812851           -0.35358            -0.497327           
0.0521653           3840                1.15833             0.0616563           0.15986             -0.0398573          0.0815463           0.254345            
0.055643            4096                -0.865516           -0.227662           0.103466            0.139676            -0.951345           -0.875859           
0.0591207           4352                1.12802             -0.049751           0.216258            0.0297613           -0.155421           -0.182892           
0.0625984           4608                -0.308278           -0.0831782          0.0650042           0.0505092           -0.453298           -0.31424            
0.066076            4864                0.0094638           -0.0352748          0.0662709           0.0204119           -0.253617           -0.124242           
0.0695537           5120                0.274156            -0.106225           0.0699622           0.0649909           -0.107651           -0.413317           
0.0730314           5376                -0.458672           -0.00370852         0.0138412           0.00100041          -0.338086           -0.00600105         
0.0765091           5632                0.334284            -0.0329305          0.0450493           0.0194192           0.0315375           -0.125102           
0.0799868           5888                -0.361092           -0.0553996          0.00370604          0.0330875           -0.238598           -0.210903           
0.0834645           6144                0.081277            -0.0155994          0.047083            0.00845716          -0.133732           -0.0545177          
0.0869422           6400                0.0541324           -0.0938196          0.0565599           0.05756             -0.19095            -0.364045           
0.0904198           6656                -0.0271736          -0.0531758          0.0676538           0.0321724           -0.28469            -0.200474           
0.0938975           6912                0.247738            -0.0745836          0.0862654           0.0459496           -0.188349           -0.286592           
0.0973752           7168                -0.0123516          -0.0160563          0.0656359           0.00936788          -0.268916           -0.0537131          
0.100853            7424                0.148714            -0.0916891          0.0713987           0.0565676           -0.190993           -0.352373           
0.104331            7680                0.044195            -0.0378295          0.0565938           0.0228937           -0.197274           -0.140234           
0.107808            7936                -0.00467394         -0.0583976          0.0423828           0.0358163           -0.170542           -0.221969           
0.111286            8192                0.0262959           -0.0351069          0.0406262           0.0211959           -0.143623           -0.132304           
0.114764            8448                -0.0370651          -0.0344372          0.0429554           0.0207047           -0.191906           -0.130676           
0.118241            8704                0.0603175           -0.0279542          0.053213            0.0166802           -0.172129           -0.104249           
0.121719            8960                0.00856585          -0.0665422          0.0529132           0.0406962           -0.203508           -0.257126           
0.125197            9216                0.0455686           -0.0209262          0.0602753           0.0122986           -0.209275           -0.0763118          
0.128674            9472                0.0518469           -0.0605536          0.0678083           0.0370063           -0.234936           -0.232338           
0.132152            9728                0.024025            -0.0300297          0.0719271           0.0179413           -0.268146           -0.109882           
0.13563             9984                0.0559267           -0.0333631          0.076284            0.0198101           -0.265071           -0.121434           
0.139107            10240               0.0681704           -0.0743803          0.0868171           0.0453248           -0.299215           -0.282444           
0.142585            10496               0.0729613           -0.0262901          0.0995619           0.0152655           -0.345756           -0.0928679          
0.146063            10752               0.141804            -0.0774755          0.107417            0.0471325           -0.333638           -0.293672           
0.149541            11008               0.100073            -0.0353621          0.104232            0.0205833           -0.346423           -0.126364           
0.153018            11264               0.116163            -0.0604839          0.101552            0.0362612           -0.325036           -0.224831           
0.156496            11520               0.110178            -0.0269104          0.0979294           0.0154333           -0.313156           -0.0948032          
0.159974            11776               0.106093            -0.0497783          0.0936959           0.029807            -0.298752           -0.185564           
0.163451            12032               0.0936854           -0.0113988          0.086103            0.00593816          -0.276172           -0.0339598          
0.166929            12288               0.0846648           -0.0440062          0.0762847           0.0262044           -0.243151           -0.161973           
0.170407            12544               0.0685266           -0.0142217          0.0674286           0.00761217          -0.218008           -0.0454852          
0.173884            12800               0.0518558           -0.0395568          0.0586615           0.0233937           -0.193242           -0.147302           
0.177362            13056               0.0266899           -0.00939368         0.0513696           0.00461992          -0.179569           -0.0299549          
0.18084             13312               0.0452124           -0.0235589          0.0528408           0.0135551           -0.17357            -0.0860529          
0.184317            13568               0.0271956           -0.0118578          0.0484043           0.00634965          -0.167023           -0.0409654          
