#Time               nTime               force-x             force-y             force-z             moment-x            moment-y            moment-z            
0                   0                   -0.000169997        -5.29175e-05        -0.000644601        0.00020371          0.00213905          -0.000195702        
0.00347769          256                 7.83714             3.14507             509.922             -7.43326            -1974.79            14.0267             
0.00695537          512                 51.1712             0.600666            303.237             12.8138             -948.463            3.00213             
0.0104331           768                 -10.8432            4.89087             -227.031            -12.6826            790.602             18.4026             
0.0139107           1024                -54.4345            4.83749             -540.272            -17.6295            1815.21             16.5621             
0.0173884           1280                -77.3502            2.65103             -465.277            -27.853             1412.41             8.30957             
0.0208661           1536                -0.453547           -0.694971           42.1069             -22.0095            -196.768            -2.75509            
0.0243438           1792                22.8379             -0.798273           196.013             -12.248             -656.109            -2.21601            
0.0278215           2048                44.7533             -0.961757           204.956             12.6954             -571.799            -2.00602            
0.0312992           2304                11.8182             -1.88066            86.159              26.1709             -287.439            -7.96538            
0.0347769           2560                5.2189              -0.861063           65.9982             5.19236             -243.421            -3.26017            
0.0382545           2816                14.5839             0.416377            69.5489             -5.31157            -204.069            1.92809             
0.0417322           3072                8.60614             0.410393            19.8734             0.35309             -44.7197            1.66179             
0.0452099           3328                2.3896              0.221141            -8.17142            3.93622             30.3251             0.464924            
0.0486876           3584                1.31123             0.626485            -9.60416            -3.47825            28.0573             2.11148             
0.0521653           3840                2.98567             0.95004             -11.877             -7.83151            48.2168             3.7497              
0.055643            4096                3.37447             0.600501            -7.8987             -2.98954            34.1744             2.18371             
0.0591207           4352                2.26767             0.291512            -0.100636           -0.783996           -0.60732            0.828059            
0.0625984           4608                7.07812             0.302114            22.993              -2.48727            -66.4078            1.11161             
0.066076            4864                7.86756             0.226544            30.406              -1.45125            -90.4094            0.831851            
0.0695537           5120                8.44594             0.110536            34.7441             0.208096            -104.166            0.326776            
0.0730314           5376                8.54514             0.121235            37.4912             0.793463            -113.981            0.243877            
0.0765091           5632                7.66574             0.185811            34.3276             0.186944            -105.008            0.478151            
0.0799868           5888                6.3069              0.244031            28.5887             0.318259            -87.8976            0.717854            
0.0834645           6144                4.55503             0.223079            20.2829             1.19322             -63.1157            0.576185            
0.0869422           6400                2.93531             0.145328            13.2465             0.410756            -43.1942            0.367374            
0.0904198           6656                1.75463             0.0760375           8.28985             -0.375396           -29.5972            0.288123            
0.0938975           6912                0.871415            -0.14104            5.78804             -0.415396           -24.3163            -0.473688           
0.0973752           7168                0.498686            -0.208732           6.26835             -0.656862           -28.4309            -0.695178           
0.100853            7424                0.640819            0.00948066          7.84714             -1.33284            -34.2293            0.221307            
0.104331            7680                1.40559             -0.1115             9.9864              -0.182064           -40.8102            -0.155547           
0.107808            7936                2.22167             -0.439543           10.4045             0.912944            -40.5174            -1.16795            
0.111286            8192                2.41126             -0.561561           10.4901             2.26802             -40.3487            -1.45417            
0.114764            8448                2.58494             -0.736935           8.17781             2.13738             -30.6392            -2.1003             
0.118241            8704                2.68917             -0.47859            6.51804             0.864208            -24.0375            -1.26667            
0.121719            8960                3.17721             -0.32929            6.93932             0.378428            -24.4724            -0.830557           
0.125197            9216                3.68955             -0.418984           6.9964              1.28288             -22.6304            -1.10669            
0.128674            9472                4.35036             -0.470976           6.63836             1.10228             -18.7991            -1.23364            
0.132152            9728                5.07991             -0.711286           7.57508             1.71384             -19.51              -2.01397            
0.13563             9984                6.53542             -1.03184            9.94509             2.96469             -22.9935            -3.13795            
0.139107            10240               7.52791             -1.33373            10.4137             3.22711             -21.2207            -3.97351            
0.142585            10496               8.52514             -1.31574            12.6718             3.66235             -25.8673            -3.36297            
0.146063            10752               9.84145             -1.05053            16.1807             3.50975             -33.7288            -2.12639            
0.149541            11008               10.7248             -0.711814           21.3708             3.13067             -48.0874            -0.798105           
0.153018            11264               11.2259             -0.4675             27.2607             3.05488             -66.323             -0.145735           
0.156496            11520               11.6117             -0.365019           32.8825             2.8792              -84.8872            -0.0077472          
0.159974            11776               11.645              -0.190657           37.9252             2.5595              -102.614            0.220495            
0.163451            12032               11.3027             -0.0738174          43.2782             2.92951             -123.013            0.262506            
0.166929            12288               11.0837             0.11287             48.8374             2.42922             -144.062            0.680847            
0.170407            12544               9.96261             0.156122            51.1114             1.55679             -157.029            0.850045            
0.173884            12800               9.64139             0.0374967           55.3238             0.908623            -175.059            0.261321            
0.177362            13056               9.22845             -0.0414628          59.2183             -0.193071           -192.625            -0.0498516          
0.18084             13312               9.23759             -0.1071             61.1723             -0.73747            -201.357            -0.543035           
0.184317            13568               9.88624             -0.747683           61.8969             0.37239             -204.476            -2.66836            
0.187795            13824               10.012              -0.95269            62.5935             -0.357002           -209.658            -3.42686            
0.191273            14080               9.76544             -1.99895            62.9915             0.558276            -214.378            -8.02529            
0.19475             14336               9.60621             -2.81639            63.2371             -0.228191           -218.4              -11.5261            
0.198228            14592               9.4813              -3.84439            63.0778             0.422678            -220.153            -15.8222            
