#Time               nTime               force-x             force-y             force-z             moment-x            moment-y            moment-z            
0                   0                   -3.04276e-05        -0.000257807        -0.000217127        -0.000294056        -0.0130524          -0.000890563        
0.00347769          256                 253.96              -2.12399            -648.684            6.29741             1545.6              3.79288             
0.00695537          512                 304.197             16.3102             -1561.69            98.1871             3141.24             98.2528             
0.0104331           768                 -0.0223312          21.0864             -1479.35            119.048             3228.04             113.273             
0.0139107           1024                305.434             15.2187             1004.47             -115.801            -1761.08            34.7033             
0.0173884           1280                122.197             -2.25298            729.727             -39.6096            -1244.31            -42.3726            
0.0208661           1536                -91.4025            -9.36332            262.298             77.782              -165.894            -39.0954            
0.0243438           1792                53.2473             7.70893             -10.9156            33.8647             647.998             26.1924             
0.0278215           2048                120.465             10.3776             302.47              -25.4789            -207.936            26.5025             
0.0312992           2304                33.0841             -7.13225            -343.723            28.6066             423.037             -32.2036            
0.0347769           2560                7.44318             -0.688089           -102.432            -2.58755            222.203             -15.3353            
0.0382545           2816                69.1358             9.28728             186.286             -12.4971            -28.7582            22.7537             
0.0417322           3072                63.4652             6.55252             132.269             11.6955             -1.91673            15.749              
0.0452099           3328                38.3544             1.70837             -6.17309            17.6005             263.311             -3.19124            
0.0486876           3584                60.2228             4.39649             -19.402             9.72445             283.968             9.87222             
0.0521653           3840                61.6566             6.54586             -31.8501            5.00473             231.875             18.9064             
0.055643            4096                52.6459             4.81987             -2.40852            3.83698             174.448             10.9225             
0.0591207           4352                49.0847             4.75272             37.3887             5.23161             84.8008             5.92241             
0.0625984           4608                51.831              3.91135             53.837              4.54406             76.2422             9.61041             
0.066076            4864                49.7968             3.80219             49.377              6.27332             78.6718             9.2027              
0.0695537           5120                41.428              3.84409             56.334              6.03698             57.7633             6.15995             
0.0730314           5376                37.0755             4.20496             56.658              4.28936             44.9561             6.78591             
0.0765091           5632                34.1972             4.68037             60.4376             4.82041             40.5881             5.60561             
0.0799868           5888                33.2426             2.88568             73.495              7.99831             37.0731             6.3581              
0.0834645           6144                30.195              1.61234             72.9475             10.6002             38.1329             7.56304             
0.0869422           6400                28.0003             0.920269            80.102              11.3143             25.3237             6.1939              
0.0904198           6656                24.8234             0.829965            85.2283             9.8571              17.5626             4.07159             
0.0938975           6912                23.9641             0.675776            90.8036             9.54655             4.46628             3.97092             
0.0973752           7168                22.6427             0.445151            88.6094             10.0169             8.41016             3.49472             
0.100853            7424                19.3532             -1.25956            97.1205             8.83909             -9.16961            0.526821            
0.104331            7680                17.2474             -1.90853            96.7616             10.7031             -21.5642            -2.26669            
0.107808            7936                16.2528             -1.72056            93.4217             10.5928             -21.0113            -4.45738            
0.111286            8192                15.2046             -0.717624           92.4169             12.1914             -22.2011            -5.67701            
0.114764            8448                14.9709             -0.319677           87.4725             11.6796             -22.8249            -5.05518            
0.118241            8704                15.6705             -1.01153            88.266              13.5752             -21.8545            -6.43432            
0.121719            8960                15.009              -1.68404            100.654             11.7385             -30.3918            -5.4238             
0.125197            9216                13.8802             -2.54095            109.69              8.67687             -47.9888            -4.10219            
0.128674            9472                15.192              -1.58335            101.434             7.18957             -38.0322            -3.30808            
