#Time               nTime               force-x             force-y             force-z             moment-x            moment-y            moment-z            
0                   0                   -0.000336191        1.40562e-05         0.000124025         -0.000146105        -0.000377084        -2.12239e-05        
0.00347769          256                 1125.69             37.5184             1929.85             -86.4708            1854.12             -20.9143            
0.00695537          512                 -1292.22            -12.5928            1837                0.338215            -731.178            19.3927             
0.0104331           768                 103.945             -10.984             -525.964            -4.07408            -131.631            -12.4992            
0.0139107           1024                -162.173            25.4662             -984.866            -39.4275            -506.215            -4.61755            
0.0173884           1280                690.765             -3.89256            -1083.63            13.6561             366.027             -3.03104            
0.0208661           1536                -297.123            -0.190543           -910.937            17.4819             -608.755            1.99641             
0.0243438           1792                -270.825            7.34906             45.2762             -3.24099            -253.905            2.50797             
0.0278215           2048                236.471             -10.4206            301.139             18.4998             355.57              2.81679             
0.0312992           2304                -98.6742            -9.53081            -41.6153            13.8195             -114.935            5.35218             
0.0347769           2560                46.4868             10.0368             -61.8889            -10.6664            32.4575             -3.2949             
0.0382545           2816                -8.41902            -12.6265            12.2284             24.1005             -1.85996            5.44633             
0.0417322           3072                6.51135             6.89717             27.651              -6.30809            19.4496             -3.08014            
0.0452099           3328                2.36376             -4.88866            28.3657             10.2759             13.4007             2.50409             
0.0486876           3584                -12.9171            2.95526             11.3734             -1.0788             -8.03638            -0.666111           
0.0521653           3840                2.39148             -1.59318            -2.09031            5.57538             3.76545             1.63704             
0.055643            4096                -8.33364            -0.262087           -11.9029            4.35798             -10.4347            0.709442            
0.0591207           4352                -20.7875            0.0951207           -0.256255           4.28352             -18.6287            0.471109            
0.0625984           4608                0.0741969           -0.0572068          1.28498             3.68381             3.70211             1.10347             
0.066076            4864                0.30338             0.537764            -20.6853            4.00076             -3.21964            -0.302466           
0.0695537           5120                0.752188            -1.89502            -28.013             6.99025             -4.86535            1.33739             
0.0730314           5376                -1.73093            5.32401             -16.9209            -3.56538            -3.3472             -1.50144            
0.0765091           5632                2.42737             -1.27109            -14.1991            5.52082             2.07658             1.57205             
0.0799868           5888                0.999067            1.75092             -23.0925            1.29275             -2.74521            -0.332484           
0.0834645           6144                0.0274741           -0.616468           -26.443             4.57511             -4.43088            0.783608            
0.0869422           6400                4.6792              1.23849             -23.8783            1.69274             1.73894             0.503525            
0.0904198           6656                0.723945            0.0726984           -24.6221            3.36268             -2.48111            1.56927             
0.0938975           6912                -4.67515            0.121113            -27.0366            2.82937             -9.10488            2.22417             
0.0973752           7168                1.01344             1.46618             -28.2485            0.482552            -3.54953            0.848334            
0.100853            7424                7.96181             0.391726            -23.2618            2.27504             4.99444             1.64176             
0.104331            7680                4.79994             0.675792            -17.4097            2.37868             3.67393             0.727734            
0.107808            7936                6.1414              -0.469664           -18.3102            3.86547             5.05521             1.05488             
0.111286            8192                4.62837             -0.513914           -20.5823            3.65568             2.74002             0.980316            
0.114764            8448                2.89797             -0.191237           -22.2976            3.49035             0.713417            1.24851             
0.118241            8704                3.93593             0.00633902          -24.7548            4.03415             0.948421            1.19009             
0.121719            8960                7.12149             -1.52316            -28.9075            5.68912             2.6145              2.17995             
