#Time               nTime               force-x             force-y             force-z             moment-x            moment-y            moment-z            
0                   0                   -6.94542e-06        3.96881e-06         -1.42216e-05        -2.25891e-05        -1.08177e-05        -2.14448e-06        
0.00347769          256                 0.826526            0.093917            -11.0623            4.15751             -6.08828            -0.0257811          
0.00695537          512                 0.703916            1.23311             346.681             -7.97248            126.49              -0.449014           
0.0104331           768                 -1.23179            1.55561             193.386             7.25154             74.0665             -0.747039           
0.0139107           1024                -0.17656            -0.663795           -212.387            -8.81157            -79.5623            0.0990989           
0.0173884           1280                -0.729147           -0.859676           -256.339            -1.91916            -94.6793            0.302785            
0.0208661           1536                0.872686            -1.12914            -253.987            -3.37323            -95.5938            0.479333            
0.0243438           1792                0.0472209           0.0972068           6.61746             3.09169             2.20355             0.0245135           
0.0278215           2048                0.27289             0.466362            65.7373             3.40134             24.8133             -0.183162           
0.0312992           2304                0.248085            0.262079            35.267              -0.0512859          13.2614             -0.140463           
0.0347769           2560                0.26485             0.097223            6.82056             0.147462            2.74096             -0.0175148          
0.0382545           2816                0.305926            -0.0126016          -9.21851            0.168223            -3.38842            -0.00223831         
0.0417322           3072                0.192265            -0.0153785          5.19365             -0.201884           1.9841              0.0350294           
0.0452099           3328                0.127507            0.0438785           14.4193             0.753037            5.42859             -0.00978021         
0.0486876           3584                0.163641            0.0411887           15.1084             0.23802             5.69159             -0.00284013         
0.0521653           3840                0.18848             0.0391664           11.4088             0.314796            4.41978             -0.00352289         
0.055643            4096                0.237727            0.0255795           6.04741             -0.00471175         2.41207             -0.00447987         
0.0591207           4352                0.249795            0.032577            10.1872             0.100515            3.95839             -0.00485189         
0.0625984           4608                0.238461            0.0640765           16.1278             0.463969            6.22272             -0.0262249          
0.066076            4864                0.22624             0.0435878           12.1388             0.0791465           4.71026             -0.0137782          
0.0695537           5120                0.200195            0.043514            6.65489             0.452934            2.62204             -0.0263898          
0.0730314           5376                0.217702            0.00991574          5.57076             -0.231835           2.18442             -0.00508184         
0.0765091           5632                0.195421            0.0824858           8.08984             0.68456             3.17607             -0.0377054          
0.0799868           5888                0.199876            0.0586364           11.8889             0.00437399          4.63493             -0.0199131          
0.0834645           6144                0.20836             0.0688028           10.6168             0.350716            4.11998             -0.0273007          
0.0869422           6400                0.222301            0.0492267           7.46179             0.0757374           2.94285             -0.0117553          
0.0904198           6656                0.235903            0.0435228           5.01549             0.0757662           2.02062             -0.00496904         
0.0938975           6912                0.230385            0.0705765           7.79709             0.419537            3.1257              -0.00795716         
0.0973752           7168                0.221874            0.0697145           10.7908             0.241934            4.20389             -0.00593672         
0.100853            7424                0.233512            0.0817223           9.02044             0.246687            3.52347             -0.0102367          
0.104331            7680                0.253111            0.0784508           6.85382             0.160927            2.72066             -0.0061156          
0.107808            7936                0.211421            0.100636            9.67869             0.148229            3.8039              -0.0251308          
0.111286            8192                0.213343            0.107213            11.7057             0.0387269           4.55522             -0.0306346          
0.114764            8448                0.20496             0.104749            11.4833             0.358386            4.43702             -0.0201903          
0.118241            8704                0.185605            0.0781809           10.6428             0.10389             4.11559             -0.010449           
0.121719            8960                0.205015            0.0798412           8.37277             0.316949            3.3002              -0.0152768          
0.125197            9216                0.217509            0.0906729           7.51008             0.135283            2.98509             -0.0281131          
0.128674            9472                0.228959            0.080632            7.4335              0.219795            2.94513             -0.0251922          
0.132152            9728                0.287734            0.106236            7.43464             0.288347            2.97356             -0.0439367          
0.13563             9984                0.32703             0.125944            9.11948             0.242152            3.62552             -0.0594119          
0.139107            10240               0.273259            0.117562            10.933              0.189228            4.2923              -0.0417337          
0.142585            10496               0.270912            0.112231            11.1223             0.321925            4.36388             -0.0293838          
0.146063            10752               0.284204            0.105375            11.2679             0.109317            4.40964             -0.0287821          
0.149541            11008               0.25209             0.106503            10.2275             0.250034            3.99481             -0.0337354          
0.153018            11264               0.219109            0.102576            9.31141             0.0960028           3.65561             -0.0196724          
0.156496            11520               0.289291            0.150571            13.1909             0.465448            5.15091             -0.0519076          
0.159974            11776               0.262864            0.142844            14.0315             0.43883             5.45849             -0.0531801          
0.163451            12032               0.255201            0.107308            13.0505             0.169982            5.06785             -0.0448471          
0.166929            12288               0.247566            0.131351            11.3908             0.294654            4.47204             -0.0482984          
0.170407            12544               0.306567            0.137037            12.8298             -0.0217871          4.94031             -0.0489546          
