#Time               nTime               force-x             force-y             force-z             moment-x            moment-y            moment-z            
0                   0                   0.00142447          -1.14103e-05        -0.00196241         -2.11935e-06        0.00309241          -1.99367e-05        
0.00347769          256                 24.4847             0.276866            -32.5355            0.432873            48.8496             0.812426            
0.00695537          512                 9.8231              -1.79706            -23.9306            -0.79038            79.2959             -4.36507            
0.0104331           768                 -7.0244             0.328538            10.0727             0.982896            -11.3874            0.930143            
0.0139107           1024                -108.469            -0.458555           160.281             -0.874346           -252.747            -1.39286            
0.0173884           1280                -102.593            0.500871            150.901             0.00836275          -251.868            1.06595             
0.0208661           1536                -63.3367            -0.077268           92.0384             -0.44541            -146.757            -0.234323           
0.0243438           1792                -47.1901            -0.491315           65.3777             -0.511602           -101.281            -1.3218             
0.0278215           2048                -30.3282            0.346572            43.3764             0.0684953           -70.9362            0.696709            
0.0312992           2304                10.4264             0.215026            -12.7703            0.0348813           20.7792             0.482442            
0.0347769           2560                11.3064             0.449886            -15.9279            0.121999            27.1608             0.993671            
0.0382545           2816                2.19045             0.289512            -0.401695           0.0341235           0.482022            0.592421            
0.0417322           3072                3.68671             0.225978            -3.22628            -0.00524485         4.37703             0.484584            
0.0452099           3328                10.7399             0.325481            -12.0269            0.178711            16.2877             0.805379            
0.0486876           3584                12.6632             0.169879            -14.0398            0.0529343           17.9796             0.480066            
0.0521653           3840                14.2464             0.15433             -15.8815            0.127464            19.1028             0.503863            
0.055643            4096                16.2472             0.0824697           -17.9934            0.197096            20.2885             0.428222            
0.0591207           4352                20.2187             0.0591505           -23.2584            0.22135             27.5539             0.40939             
0.0625984           4608                23.8392             -0.0207622          -28.1165            0.195645            34.6528             0.28374             
0.066076            4864                30.028              -0.119283           -36.6582            0.135896            48.0341             0.0932698           
0.0695537           5120                34.1431             -0.120397           -42.5291            0.145115            57.5295             0.0997924           
0.0730314           5376                36.5471             -0.107309           -46.0254            0.20063             63.5197             0.163101            
0.0765091           5632                39.5435             -0.200308           -50.3409            0.143555            71.2621             -0.0242132          
0.0799868           5888                41.1085             -0.18889            -52.4023            0.0101738           75.4581             -0.10285            
0.0834645           6144                41.0585             -0.191617           -52.2303            -0.0777959          75.9076             -0.174447           
0.0869422           6400                40.365              -0.182083           -51.0167            -0.0606187          74.4768             -0.170458           
0.0904198           6656                40.1593             -0.12254            -50.3967            -0.0160855          73.5711             -0.0762409          
0.0938975           6912                40.3303             -0.0717955          -50.2119            -0.0554074          73.3671             -0.0534059          
0.0973752           7168                40.3766             -0.112343           -49.8507            -0.032375           72.7359             -0.0688441          
0.100853            7424                41.6085             -0.216943           -50.8416            -0.0758254          74.4422             -0.225068           
0.104331            7680                43.382              -0.141551           -52.1872            -0.129365           77.4245             -0.120823           
0.107808            7936                44.3497             -0.133156           -52.9454            -0.0945417          78.4141             -0.113189           
0.111286            8192                44.5365             0.0529934           -52.9418            -0.106762           77.7298             0.172245            
0.114764            8448                44.9947             0.19815             -53.4518            -0.278825           77.9288             0.322133            
0.118241            8704                45.7296             0.0612136           -54.2897            -0.28369            78.8463             0.170966            
0.121719            8960                46.1782             0.0884526           -54.6796            -0.256699           79.2368             0.178285            
0.125197            9216                47.2733             0.0130604           -56.0882            -0.0453504          80.9947             0.170945            
0.128674            9472                48.0289             0.121619            -56.9227            -0.272243           82.0213             0.227662            
0.132152            9728                48.4836             0.0707059           -57.6443            0.0341479           82.6718             0.261809            
0.13563             9984                48.7462             -0.0235352          -57.7103            -0.0435495          82.7518             0.167457            
0.139107            10240               49.4274             -0.115585           -58.5509            -0.143344           83.8779             0.055499            
0.142585            10496               49.7447             -0.260298           -58.7437            -0.092602           84.2585             -0.259873           
0.146063            10752               50.0874             -0.164929           -59.2359            -0.0254541          84.8543             -0.136356           
0.149541            11008               50.1                -0.130361           -59.614             -0.162967           85.0444             -0.0787491          
0.153018            11264               50.3645             -0.0636897          -59.9489            -0.0512365          85.4113             0.0698929           
0.156496            11520               50.7992             -0.262445           -60.5784            -0.314863           86.3763             -0.398007           
0.159974            11776               51.4601             -0.316277           -61.2102            -0.0651311          87.3345             -0.320365           
0.163451            12032               51.9883             -0.170659           -61.9582            -0.0824648          88.3654             -0.134381           
