#Time               nTime               force-x             force-y             force-z             moment-x            moment-y            moment-z            
0                   0                   2.57973e-05         -5.29175e-06        -3.17505e-05        2.13654e-06         6.82186e-05         -9.83471e-06        
0.00347769          256                 0.652814            0.00391755          -0.889347           0.0226385           1.576               0.00920381          
0.00695537          512                 0.35995             -0.0942712          -0.764374           0.0259686           3.87475             -0.300328           
0.0104331           768                 -2.19703            -0.361246           3.78804             0.363466            -5.50826            -0.546715           
0.0139107           1024                -6.98564            -0.134541           10.1623             0.225445            -18.7728            -0.0913252          
0.0173884           1280                -4.8906             0.111291            7.10006             -0.0436557          -14.0904            0.287827            
0.0208661           1536                -1.80928            0.169598            2.16092             -0.118852           -5.52556            0.404729            
0.0243438           1792                -2.1682             0.048841            2.20624             -0.151057           -4.59769            0.165595            
0.0278215           2048                -1.34005            0.0545822           1.88253             0.0529527           -3.50823            0.15407             
0.0312992           2304                1.37338             0.0797288           -2.08592            0.0045485           3.51079             0.145954            
0.0347769           2560                1.62996             0.0797334           -2.35401            0.0375712           4.26928             0.160997            
0.0382545           2816                0.425045            0.0408596           -0.400534           0.0447926           0.727581            0.112853            
0.0417322           3072                0.38382             0.0284987           -0.353964           0.0338215           0.758149            0.0819362           
0.0452099           3328                0.493437            0.034956            -0.422583           0.0491678           0.791822            0.0845199           
0.0486876           3584                0.415763            0.0293666           -0.337493           0.0300024           0.4976              0.0602089           
0.0521653           3840                0.329499            0.0309792           -0.168064           0.0251277           0.157004            0.0590595           
0.055643            4096                0.246892            0.029455            0.030388            0.0251328           -0.244714           0.0579571           
0.0591207           4352                0.370385            0.0292356           -0.0984088          0.0165051           -0.00272938         0.050332            
0.0625984           4608                0.528111            0.0221258           -0.241196           0.0248738           0.30065             0.0384051           
0.066076            4864                0.858588            0.0107995           -0.641386           0.0246751           1.06882             0.0155937           
0.0695537           5120                1.11353             0.00143803          -0.936202           0.0374173           1.6716              0.00370653          
0.0730314           5376                1.31479             -0.0105972          -1.16694            0.0504915           2.14174             -0.0111385          
0.0765091           5632                1.57519             -0.0275803          -1.48612            0.0676776           2.77296             -0.0305081          
0.0799868           5888                1.81723             -0.046762           -1.7587             0.087174            3.31975             -0.0536491          
0.0834645           6144                2.03198             -0.050885           -1.96642            0.087058            3.76694             -0.0709139          
0.0869422           6400                2.11716             -0.068162           -2.048              0.119051            3.93861             -0.0765289          
0.0904198           6656                2.14645             -0.0838583          -2.04945            0.13793             3.98475             -0.0708715          
0.0938975           6912                2.16479             -0.0837153          -2.02907            0.12114             3.99673             -0.0615097          
0.0973752           7168                2.19359             -0.103602           -2.00281            0.128701            4.00597             -0.0784133          
0.100853            7424                2.21007             -0.126394           -2.00231            0.125993            4.01614             -0.102062           
0.104331            7680                2.18372             -0.112288           -2.016              0.107441            4.00463             -0.0895553          
0.107808            7936                2.1383              -0.125075           -1.89606            0.118001            3.83881             -0.0902275          
0.111286            8192                2.10724             -0.108251           -1.76512            0.10892             3.66129             -0.0669571          
0.114764            8448                2.18434             -0.0957754          -1.7486             0.0853461           3.72584             -0.0671993          
0.118241            8704                2.21749             -0.130805           -1.77931            0.135449            3.76593             -0.10093            
0.121719            8960                2.20178             -0.135063           -1.79718            0.133546            3.72413             -0.122519           
0.125197            9216                2.18258             -0.127093           -1.74904            0.133389            3.65055             -0.0879227          
0.128674            9472                2.22445             -0.145077           -1.76542            0.1663              3.69484             -0.125011           
0.132152            9728                2.2966              -0.111379           -1.75992            0.149322            3.77114             -0.0774158          
0.13563             9984                2.25197             -0.103458           -1.70448            0.0796344           3.67092             -0.0668117          
0.139107            10240               2.27316             -0.116974           -1.71941            0.10295             3.69952             -0.0763317          
0.142585            10496               2.24161             -0.12762            -1.72157            0.131328            3.65428             -0.0744353          
0.146063            10752               2.27339             -0.120265           -1.74778            0.146012            3.70673             -0.0852779          
0.149541            11008               2.3348              -0.118936           -1.8414             0.123801            3.84944             -0.0996772          
0.153018            11264               2.33388             -0.144197           -1.86034            0.175478            3.8562              -0.0971578          
0.156496            11520               2.26214             -0.112674           -1.84023            0.117811            3.7409              -0.11724            
0.159974            11776               2.26768             -0.112236           -1.85464            0.12389             3.75088             -0.0904794          
0.163451            12032               2.34617             -0.137875           -1.82119            0.18868             3.8296              -0.11566            
0.166929            12288               2.34874             -0.140078           -1.83493            0.168106            3.83048             -0.124388           
0.170407            12544               2.32092             -0.138944           -1.78784            0.151036            3.73355             -0.143555           
0.173884            12800               2.22461             -0.129983           -1.75759            0.143612            3.57442             -0.119723           
0.177362            13056               2.10682             -0.124132           -1.71243            0.125844            3.37645             -0.101683           
