#Time               nTime               force-x             force-y             force-z             moment-x            moment-y            moment-z            
0                   0                   0.000101535         -4.13418e-06        -0.000352397        -4.05692e-05        0.000360725         5.01526e-06         
0.00347769          256                 -0.581006           0.783489            -59.4467            -7.31146            11.605              -0.689243           
0.00695537          512                 170.263             0.605562            820.394             1.86033             0.689356            9.82743             
0.0104331           768                 3.46042             -2.07562            241.878             -9.30098            -78.2101            1.91231             
0.0139107           1024                -1.97633            -0.739971           95.4888             -8.86671            -41.0715            -0.817138           
0.0173884           1280                -18.6699            -0.199585           -173.469            -0.974457           -0.657492           -1.53206            
0.0208661           1536                -26.6322            -0.0881865          -36.1022            -4.95146            -18.8793            -3.75696            
0.0243438           1792                -2.07922            -0.494141           88.455              1.52435             -24.1809            0.671787            
0.0278215           2048                -2.50019            -0.246308           18.7936             2.30034             -8.88509            -0.467646           
0.0312992           2304                12.4036             -0.789431           -34.1402            -1.62176            15.4482             0.0337997           
0.0347769           2560                -4.60077            0.556329            -28.6053            -0.0289821          -0.940455           -0.142393           
0.0382545           2816                -1.23888            -0.540405           -15.612             0.791648            -0.446414           -0.304967           
0.0417322           3072                -3.42392            -0.179515           -17.6927            -0.204057           -2.46113            -0.173072           
0.0452099           3328                -2.13293            -0.313587           -27.7033            -0.172888           1.60644             -0.280023           
0.0486876           3584                -2.24998            -0.145515           -31.9719            -0.601563           2.22684             -0.267316           
0.0521653           3840                -2.83103            -0.431766           -41.0654            -0.0393635          3.72296             -0.32441            
0.055643            4096                -3.87572            -0.292187           -47.4698            -0.688963           4.07231             -0.384386           
0.0591207           4352                -3.57057            -0.353986           -49.5097            -0.534732           5.07973             -0.375342           
0.0625984           4608                -3.81244            -0.339701           -56.9292            -0.790553           6.63169             -0.359616           
0.066076            4864                -3.71515            -0.388026           -71.1496            -0.515608           10.1814             -0.400144           
0.0695537           5120                -4.4371             -0.460906           -78.8612            -0.575006           11.5735             -0.390979           
0.0730314           5376                -4.35108            -0.282615           -78.5284            -0.841815           11.8306             -0.192894           
0.0765091           5632                -4.49083            -0.192484           -79.6666            -0.696392           12.142              0.0105281           
0.0799868           5888                -4.76469            -0.196977           -83.9514            -0.675008           13.0152             0.173225            
0.0834645           6144                -4.92359            -0.285293           -89.4064            -0.529534           14.4411             0.142126            
0.0869422           6400                -4.8284             -0.317255           -93.7585            -0.0889213          15.817              0.0781847           
0.0904198           6656                -4.80822            -0.429717           -96.1355            0.043074            16.4814             -0.00532412         
0.0938975           6912                -4.63744            -0.424302           -97.0082            -0.301288           17.0065             -0.0104679          
0.0973752           7168                -4.72265            -0.347042           -99.1983            -1.00551            17.6065             -0.0715394          
0.100853            7424                -4.63579            -0.246425           -103.686            -0.941867           19.0437             -0.0189902          
0.104331            7680                -4.91065            -0.309496           -105.912            -0.866786           19.8473             -0.0155138          
0.107808            7936                -5.21481            -0.297921           -107.671            -0.994978           19.9679             -0.0100146          
0.111286            8192                -5.50127            -0.375038           -107.092            -0.851098           19.3304             -0.03893            
0.114764            8448                -5.60906            -0.502983           -107.471            -0.67803            19.1962             -0.0777981          
0.118241            8704                -5.87667            -0.583701           -108.501            -1.02921            19.2066             -0.239251           
0.121719            8960                -6.36456            -0.618051           -110.563            -0.898221           19.2337             -0.0997797          
0.125197            9216                -6.57289            -0.635598           -111.47             -0.692808           19.4193             -0.0729584          
0.128674            9472                -6.62048            -0.715409           -113.058            -0.133572           19.736              -0.126894           
0.132152            9728                -6.7779             -0.648156           -113.791            0.180381            19.6902             -0.0972336          
0.13563             9984                -6.82113            -0.490097           -113.768            0.376176            19.5813             -0.15684            
0.139107            10240               -6.97247            -0.202223           -113.135            -0.371896           19.2345             -0.02011            
0.142585            10496               -7.06659            0.0553542           -114.238            -0.584827           19.3543             0.058754            
0.146063            10752               -7.02734            -0.139378           -114.475            -0.190704           19.5713             0.0707189           
0.149541            11008               -7.21345            0.138704            -115.394            -0.612731           19.626              0.177922            
0.153018            11264               -7.40585            -0.0900553          -115.856            -0.508206           19.4902             0.139974            
0.156496            11520               -7.32948            0.0128285           -114.815            -0.259262           19.3675             0.230217            
0.159974            11776               -7.24672            -0.0954357          -114.482            0.217935            19.4296             0.269315            
0.163451            12032               -7.2773             -0.0338148          -115.837            -0.0121212          19.692              0.330866            
0.166929            12288               -7.02323            -0.0820815          -116.553            -0.374855           20.1797             0.210795            
0.170407            12544               -7.08834            -0.190511           -114.962            -0.234917           19.6352             0.215528            
0.173884            12800               -7.05817            -0.189782           -114.636            -0.11946            19.5335             0.233432            
0.177362            13056               -7.45081            -0.220994           -114.139            -0.110932           19.0272             0.154757            
0.18084             13312               -7.6062             -0.0797088          -112.837            0.332187            18.4822             0.274842            
0.184317            13568               -7.69798            -0.131027           -112.025            0.0301326           18.2403             0.305335            
0.187795            13824               -7.75845            -0.0405988          -113.317            -0.554425           18.4761             0.244515            
0.191273            14080               -7.78959            -0.245439           -112.264            -0.353681           18.1461             0.26329             
0.19475             14336               -8.03012            -0.261483           -112.328            -0.599524           17.9655             0.233093            
0.198228            14592               -8.33409            0.154302            -110.887            -0.670372           17.2781             0.465669            
0.201706            14848               -8.32436            0.0525439           -111.869            -0.231748           17.3361             0.441505            
0.205183            15104               -8.35321            -0.196514           -112.444            -0.31004            17.3084             0.257805            
0.208661            15360               -8.41985            -0.263067           -113.345            0.130509            17.3866             0.269321            
0.212139            15616               -8.6618             -0.465694           -114.371            -0.330819           17.4371             0.117507            
0.215617            15872               -8.54212            -0.315647           -114.073            -0.115726           17.6562             0.255408            
0.219094            16128               -8.6015             -0.0718378          -114.265            -1.25369            17.6276             0.450891            
0.222572            16384               -8.32484            -0.228312           -115.244            -0.785513           17.9821             0.483828            
0.22605             16640               -8.5757             -0.120911           -113.077            0.202126            17.3493             0.607914            
0.229527            16896               -8.56576            -0.165463           -115.273            -0.709617           17.7957             0.400352            
0.233005            17152               -8.70152            -0.0206803          -114.198            -0.226497           17.4747             0.522246            
0.236483            17408               -8.51042            0.0426182           -114.804            -0.595863           17.7336             0.640521            
0.23996             17664               -8.29045            0.0891121           -115.357            -0.561724           18.2495             0.603426            
0.243438            17920               -7.91857            -0.0982178          -116.168            -0.386149           18.7378             0.511585            
0.246916            18176               -7.68913            -0.240371           -116.13             -0.532155           19.0277             0.293388            
0.250393            18432               -8.02276            -0.279778           -115.545            0.133118            18.4647             0.444017            
0.253871            18688               -8.27176            -0.0726058          -114.373            0.198494            17.9676             0.632962            
0.257349            18944               -8.09863            -0.0531893          -112.831            0.288253            17.7322             0.685709            
0.260826            19200               -8.0435             -0.348828           -112.889            0.0935222           17.9265             0.538233            
0.264304            19456               -7.98518            -0.260765           -112.332            0.42542             17.7842             0.650619            
0.267782            19712               -8.11423            -0.399446           -110.217            0.470074            17.2601             0.578243            
0.27126             19968               -7.74699            -0.403379           -112.52             0.94836             18.0506             0.466293            
0.274737            20224               -7.82972            -0.47524            -112.539            0.0746475           18.1934             0.367166            
0.278215            20480               -7.76578            -0.482828           -110.515            0.938348            17.7613             0.385321            
0.281693            20736               -8.06857            -0.454296           -110.127            1.38983             17.4009             0.434267            
0.28517             20992               -7.9231             -0.423882           -112.287            1.47408             18.1337             0.53323             
0.288648            21248               -8.11042            -0.518844           -113.055            1.26832             17.9965             0.543874            
0.292126            21504               -8.25988            -0.566689           -112.349            1.32228             17.6433             0.539249            
0.295603            21760               -8.39145            -0.200278           -113.253            1.0152              17.7286             0.634594            
0.299081            22016               -8.3196             -0.162824           -114.829            0.738024            17.9874             0.665854            
0.302559            22272               -8.59343            -0.204501           -115.129            1.22692             17.6725             0.568626            
0.306036            22528               -8.51642            -0.0336987          -115.476            1.11092             17.8861             0.617711            
0.309514            22784               -9.02709            -0.30697            -115.793            1.78158             17.4472             0.532579            
0.312992            23040               -9.37492            -0.329521           -116.248            0.865621            17.0129             0.473163            
0.316469            23296               -9.29131            -0.0285632          -116.192            1.26421             17.3584             0.528705            
0.319947            23552               -9.03347            0.072511            -118.33             0.783745            18.0091             0.592893            
0.323425            23808               -8.56218            0.0644163           -119.252            1.06097             18.7165             0.678688            
0.326903            24064               -8.24252            0.0551847           -119.832            0.288017            19.1627             0.588244            
0.33038             24320               -8.5644             -0.0061715          -120.381            0.243597            19.0929             0.559377            
0.333858            24576               -8.90249            -0.285527           -118.367            0.756867            18.2423             0.554957            
0.337336            24832               -9.0055             -0.146353           -117.429            0.393333            17.897              0.594063            
0.340813            25088               -9.12406            -0.0320606          -116.723            -0.208966           17.6476             0.60046             
0.344291            25344               -9.1122             -0.126461           -115.974            0.533226            17.4342             0.554238            
0.347769            25600               -9.08803            0.0524219           -114.551            0.386568            17.1806             0.576824            
0.351246            25856               -8.91138            -0.0355639          -114.473            0.125087            17.4864             0.619844            
