#Time               nTime               force-x             force-y             force-z             moment-x            moment-y            moment-z            
0                   0                   2.01748e-05         6.11858e-06         -2.7947e-05         -6.97585e-06        4.84103e-05         5.07875e-06         
0.00347769          256                 21.731              0.172507            -31.3612            0.472308            56.0884             0.643418            
0.00695537          512                 10.5553             -0.980479           -14.2483            -0.715754           54.1183             -2.55446            
0.0104331           768                 -134.939            -0.759776           204.562             -3.62155            -361.576            -4.54902            
0.0139107           1024                -356.967            2.60644             529.382             -1.04403            -960.409            3.97647             
0.0173884           1280                -207.733            0.987897            312.238             -1.19904            -578.279            1.03316             
0.0208661           1536                -90.2484            1.96685             134.973             1.82134             -255.401            5.14199             
0.0243438           1792                -53.2549            -0.766419           75.8563             -1.95485            -129.272            -2.68397            
0.0278215           2048                -32.6242            0.101069            49.3554             -0.146138           -87.7898            0.0315105           
0.0312992           2304                96.7518             -0.711396           -142.248            0.356503            256.604             -0.961762           
0.0347769           2560                110.975             -1.05565            -162.878            -0.0674196          295.676             -1.95031            
0.0382545           2816                25.843              0.0226722           -36.9154            0.369181            65.2906             0.318522            
0.0417322           3072                29.0248             -0.210029           -41.5534            -0.0318548          74.8335             -0.39993            
0.0452099           3328                31.5004             -0.0504861          -43.9173            0.242069            76.1339             0.0962652           
0.0486876           3584                25.948              -0.246839           -35.2016            -0.154411           58.9359             -0.519269           
0.0521653           3840                22.3134             -0.0916676          -29.2098            -0.00509237         47.0533             -0.145061           
0.055643            4096                15.8715             0.181359            -19.0934            0.295083            27.4462             0.570161            
0.0591207           4352                22.5359             0.0457635           -28.6005            0.108814            44.3371             0.19073             
0.0625984           4608                27.2785             0.0913343           -35.3298            0.196785            56.2255             0.333198            
0.066076            4864                38.8993             -0.0057179          -52.3076            0.128664            86.6471             0.119229            
0.0695537           5120                46.5106             0.0585502           -63.4439            0.230739            106.873             0.302953            
0.0730314           5376                51.5588             0.100236            -70.806             0.231449            120.088             0.380981            
0.0765091           5632                61.1079             0.0935806           -84.9025            0.259767            145.351             0.381306            
0.0799868           5888                69.5971             0.092295            -97.2423            0.312549            167.085             0.41664             
0.0834645           6144                77.1916             0.0235618           -108.151            0.244329            186.148             0.240858            
0.0869422           6400                83.282              0.0648882           -116.838            0.279516            201.145             0.345085            
0.0904198           6656                88.1673             0.0788735           -123.998            0.279753            213.363             0.371675            
0.0938975           6912                91.8096             0.0164537           -129.49             0.212658            222.855             0.203027            
0.0973752           7168                94.2548             -0.0790738          -133.101            0.103896            229.093             -0.057828           
0.100853            7424                96.738              -0.223554           -136.777            0.0540132           235.409             -0.337299           
0.104331            7680                98.5194             -0.262108           -139.787            0.37682             240.628             -0.147757           
0.107808            7936                96.974              -0.332038           -137.888            0.159021            236.525             -0.4622             
0.111286            8192                94.2261             -0.173535           -134.015            -0.118247           228.971             -0.428613           
0.114764            8448                94.0284             -0.132656           -133.791            -0.331499           228.277             -0.472647           
0.118241            8704                93.7581             -0.209228           -133.176            -0.261264           227.012             -0.502632           
0.121719            8960                92.051              -0.26387            -130.493            0.0765925           221.972             -0.308304           
0.125197            9216                91.6003             -0.263272           -129.867            -0.125802           220.322             -0.415486           
0.128674            9472                91.5439             -0.193575           -129.746            0.134012            219.864             -0.195298           
0.132152            9728                91.2197             0.141919            -129.066            -0.00751544         218.619             0.277521            
0.13563             9984                91.2053             -0.0390723          -129.049            -0.231044           218.53              -0.220454           
0.139107            10240               92.0496             -0.149878           -130.175            0.0514621           220.557             -0.293721           
0.142585            10496               92.5487             -0.220594           -130.896            -0.0179079          221.99              -0.455074           
0.146063            10752               93.1122             -0.168971           -131.583            -0.0748723          223.321             -0.39201            
0.149541            11008               94.1326             -0.0833528          -133.042            -0.081522           225.835             -0.249272           
0.153018            11264               93.5678             0.0863772           -132.182            0.0175255           224.197             0.188976            
0.156496            11520               93.5314             -0.227209           -131.926            0.0191424           223.977             -0.417517           
0.159974            11776               93.2706             -0.0697674          -131.303            0.271706            222.877             0.00266685          
0.163451            12032               93.693              0.0669085           -131.735            0.392673            223.831             0.300281            
0.166929            12288               92.3202             -0.0413066          -129.539            0.177584            219.915             -0.0335723          
0.170407            12544               89.9677             -0.14001            -125.974            0.0521266           213.332             -0.324646           
0.173884            12800               89.8476             -0.0382559          -125.821            0.175113            212.948             -0.0222796          
0.177362            13056               88.2902             -0.0323433          -123.399            -0.0226748          208.613             -0.103523           
0.18084             13312               87.3291             0.0480262           -122.044            0.0467675           206.134             0.080712            
0.184317            13568               86.7541             -0.00832508         -121.212            0.0880107           204.679             0.0123913           
0.187795            13824               86.0634             -0.089179           -120.031            0.0042354           202.478             -0.191331           
0.191273            14080               86.0937             -0.107036           -120.038            -0.0322484          202.507             -0.278612           
0.19475             14336               85.5928             -0.0937261          -119.364            -0.0657476          201.264             -0.259405           
0.198228            14592               83.9782             -0.104359           -117.067            -0.162679           196.959             -0.316535           
0.201706            14848               83.1018             -0.0422412          -115.804            0.0119613           194.768             -0.136846           
0.205183            15104               81.9111             -0.0525421          -114.067            0.0738254           191.665             -0.106304           
0.208661            15360               82.8953             -0.116764           -115.474            -0.0723194          194.285             -0.285196           
0.212139            15616               82.9654             -0.215194           -115.532            0.155402            194.371             -0.284135           
0.215617            15872               82.1683             -0.047745           -114.239            -0.0502962          192.048             -0.186461           
0.219094            16128               82.4173             -0.133913           -114.424            0.0323299           192.518             -0.316392           
0.222572            16384               82.7551             -0.207883           -114.84             -0.0812239          193.113             -0.445577           
0.22605             16640               82.9149             -0.100853           -115.056            0.0738807           193.513             -0.151735           
0.229527            16896               84.24               -0.29054            -117.23             -0.298331           197.277             -0.78048            
0.233005            17152               85.1175             -0.0776521          -118.401            0.0401486           199.419             -0.207711           
0.236483            17408               83.7284             -0.131318           -116.185            0.0144537           195.686             -0.286384           
0.23996             17664               84.5362             -0.174632           -117.31             -0.157051           197.758             -0.472826           
0.243438            17920               85.4376             -0.273736           -118.807            -0.450096           200.21              -0.808195           
0.246916            18176               84.7873             -0.17786            -117.787            -0.307254           198.451             -0.583301           
0.250393            18432               83.7761             -0.0815381          -116.288            -0.220679           195.762             -0.324289           
